time,total_band_width
2024-05-01 00:00:00,4913
2024-05-01 00:05:00,5068
2024-05-01 00:10:00,4496
2024-05-01 00:15:00,5199
2024-05-01 00:20:00,4202
2024-05-01 00:25:00,3942
2024-05-01 00:30:00,5293
2024-05-01 00:35:00,5602
2024-05-01 00:40:00,5107
2024-05-01 00:45:00,4833
2024-05-01 00:50:00,5063
2024-05-01 00:55:00,5937
2024-05-01 01:00:00,4691
2024-05-01 01:05:00,6010
2024-05-01 01:10:00,4548
2024-05-01 01:15:00,5481
2024-05-01 01:20:00,5758
2024-05-01 01:25:00,5497
2024-05-01 01:30:00,4640
2024-05-01 01:35:00,6431
2024-05-01 01:40:00,6084
2024-05-01 01:45:00,4887
2024-05-01 01:50:00,5452
2024-05-01 01:55:00,6123
2024-05-01 02:00:00,5312
2024-05-01 02:05:00,5512
2024-05-01 02:10:00,4892
2024-05-01 02:15:00,5446
2024-05-01 02:20:00,5424
2024-05-01 02:25:00,5491
2024-05-01 02:30:00,5833
2024-05-01 02:35:00,6059
2024-05-01 02:40:00,5782
2024-05-01 02:45:00,6016
2024-05-01 02:50:00,5618
2024-05-01 02:55:00,5349
2024-05-01 03:00:00,6787
2024-05-01 03:05:00,5514
2024-05-01 03:10:00,6671
2024-05-01 03:15:00,6164
2024-05-01 03:20:00,6749
2024-05-01 03:25:00,5055
2024-05-01 03:30:00,6367
2024-05-01 03:35:00,6343
2024-05-01 03:40:00,6888
2024-05-01 03:45:00,6667
2024-05-01 03:50:00,6561
2024-05-01 03:55:00,6585
2024-05-01 04:00:00,6183
2024-05-01 04:05:00,6622
2024-05-01 04:10:00,7625
2024-05-01 04:15:00,6044
2024-05-01 04:20:00,6636
2024-05-01 04:25:00,6830
2024-05-01 04:30:00,8083
2024-05-01 04:35:00,7054
2024-05-01 04:40:00,6845
2024-05-01 04:45:00,6191
2024-05-01 04:50:00,6346
2024-05-01 04:55:00,7447
2024-05-01 05:00:00,5895
2024-05-01 05:05:00,6040
2024-05-01 05:10:00,6243
2024-05-01 05:15:00,7080
2024-05-01 05:20:00,7096
2024-05-01 05:25:00,6326
2024-05-01 05:30:00,7334
2024-05-01 05:35:00,6323
2024-05-01 05:40:00,6650
2024-05-01 05:45:00,6832
2024-05-01 05:50:00,6045
2024-05-01 05:55:00,7057
2024-05-01 06:00:00,6789
2024-05-01 06:05:00,6460
2024-05-01 06:10:00,6508
2024-05-01 06:15:00,6748
2024-05-01 06:20:00,6474
2024-05-01 06:25:00,6533
2024-05-01 06:30:00,6249
2024-05-01 06:35:00,6533
2024-05-01 06:40:00,6761
2024-05-01 06:45:00,6214
2024-05-01 06:50:00,6470
2024-05-01 06:55:00,6995
2024-05-01 07:00:00,6866
2024-05-01 07:05:00,7006
2024-05-01 07:10:00,7002
2024-05-01 07:15:00,7093
2024-05-01 07:20:00,6634
2024-05-01 07:25:00,5836
2024-05-01 07:30:00,6773
2024-05-01 07:35:00,6783
2024-05-01 07:40:00,5646
2024-05-01 07:45:00,6291
2024-05-01 07:50:00,6349
2024-05-01 07:55:00,6588
2024-05-01 08:00:00,6810
2024-05-01 08:05:00,6511
2024-05-01 08:10:00,6322
2024-05-01 08:15:00,5790
2024-05-01 08:20:00,5900
2024-05-01 08:25:00,5927
2024-05-01 08:30:00,6170
2024-05-01 08:35:00,6650
2024-05-01 08:40:00,5996
2024-05-01 08:45:00,6886
2024-05-01 08:50:00,7079
2024-05-01 08:55:00,7585
2024-05-01 09:00:00,5205
2024-05-01 09:05:00,5833
2024-05-01 09:10:00,5341
2024-05-01 09:15:00,6992
2024-05-01 09:20:00,6177
2024-05-01 09:25:00,5630
2024-05-01 09:30:00,5917
2024-05-01 09:35:00,5500
2024-05-01 09:40:00,5614
2024-05-01 09:45:00,5513
2024-05-01 09:50:00,6437
2024-05-01 09:55:00,5733
2024-05-01 10:00:00,5160
2024-05-01 10:05:00,6242
2024-05-01 10:10:00,5468
2024-05-01 10:15:00,5211
2024-05-01 10:20:00,6438
2024-05-01 10:25:00,6457
2024-05-01 10:30:00,5756
2024-05-01 10:35:00,5470
2024-05-01 10:40:00,5336
2024-05-01 10:45:00,5629
2024-05-01 10:50:00,4619
2024-05-01 10:55:00,5810
2024-05-01 11:00:00,5598
2024-05-01 11:05:00,5017
2024-05-01 11:10:00,5199
2024-05-01 11:15:00,5007
2024-05-01 11:20:00,5464
2024-05-01 11:25:00,4716
2024-05-01 11:30:00,5534
2024-05-01 11:35:00,4951
2024-05-01 11:40:00,4355
2024-05-01 11:45:00,4963
2024-05-01 11:50:00,5446
2024-05-01 11:55:00,4360
2024-05-01 12:00:00,5728
2024-05-01 12:05:00,4526
2024-05-01 12:10:00,5085
2024-05-01 12:15:00,3665
2024-05-01 12:20:00,4997
2024-05-01 12:25:00,4486
2024-05-01 12:30:00,4542
2024-05-01 12:35:00,3697
2024-05-01 12:40:00,4479
2024-05-01 12:45:00,4504
2024-05-01 12:50:00,3521
2024-05-01 12:55:00,4296
2024-05-01 13:00:00,3739
2024-05-01 13:05:00,3737
2024-05-01 13:10:00,4841
2024-05-01 13:15:00,4185
2024-05-01 13:20:00,5079
2024-05-01 13:25:00,4490
2024-05-01 13:30:00,4475
2024-05-01 13:35:00,3986
2024-05-01 13:40:00,3819
2024-05-01 13:45:00,3804
2024-05-01 13:50:00,3546
2024-05-01 13:55:00,3732
2024-05-01 14:00:00,3095
2024-05-01 14:05:00,4269
2024-05-01 14:10:00,4353
2024-05-01 14:15:00,4316
2024-05-01 14:20:00,3399
2024-05-01 14:25:00,3251
2024-05-01 14:30:00,4515
