id,blversion_id,rule_id,default_openstrategy,blversion_number,start_time,number_openstrategy,updateAction_value,totalSize_MB,sourceBlVersion_value,device_cnt
1,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),6/5/2024 19:00:00,0,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),384
2,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),6/5/2024 19:00:00,1,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),384
3,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),6/5/2024 19:00:00,2,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),384
4,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),6/5/2024 19:00:00,3,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),384
5,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),6/5/2024 19:00:00,4,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),384
6,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),7/5/2024 19:00:00,5,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),48
7,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),7/5/2024 19:00:00,6,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),48
8,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),8/5/2024 19:00:00,7,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),41
9,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),9/5/2024 19:00:00,8,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),281
10,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),10/5/2024 19:00:00,all,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.112(CHNC00E112R6P5),31
11,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),6/5/2024 19:00:00,0,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),10185
12,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),6/5/2024 19:00:00,1,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),10185
13,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),6/5/2024 19:00:00,2,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),10185
14,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),6/5/2024 19:00:00,3,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),10185
15,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),6/5/2024 19:00:00,4,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),10185
16,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),7/5/2024 19:00:00,5,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),9872
17,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),7/5/2024 19:00:00,6,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),9872
18,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),8/5/2024 19:00:00,7,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),9719
19,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),9/5/2024 19:00:00,8,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),6857
20,7.18291E+18,7.18883E+18,6,ELZ-AN00 8.0.0.126(CHNC00E126R6P6),10/5/2024 19:00:00,all,upgrade;recovery,975.6944,ELZ-AN00 8.0.0.117(CHNC00E117R6P5),4740
