no,gender,age,height,weight,bmi,griffith,thermal sensation,thermal accept,air sense,season,date,time,ta,hr
1,0,22,164,45,16.73,0.96,1.7,-0.5,0,summer,2018/7/7,8:50:00,27.7,59
1,0,22,164,45,16.73,0.96,1.5,-0.5,0,summer,2018/7/7,9:00:00,27.6,59
1,0,22,164,45,16.73,0.96,1,0.5,0,summer,2018/7/7,9:30:00,27.5,59
1,0,22,164,45,16.73,0.96,0.5,2.2,0,summer,2018/7/7,10:00:00,26.9,56
1,0,22,164,45,16.73,0.96,0.3,2.1,0,summer,2018/7/7,10:30:00,26.5,55
1,0,22,164,45,16.73,0.96,0.2,2.2,0,summer,2018/7/7,11:00:00,26.4,53
1,0,22,164,45,16.73,0.96,0,1.3,0,summer,2018/7/7,11:30:00,25.5,48
1,0,22,164,45,16.73,0.96,-0.3,0.7,0,summer,2018/7/7,12:00:00,25.5,49
1,0,22,164,45,16.73,0.96,2,0.5,0,summer,2018/7/7,14:20:00,24.4,49
1,0,22,164,45,16.73,0.96,1,0.5,0,summer,2018/7/7,14:30:00,25.3,51
1,0,22,164,45,16.73,0.96,0,2.7,0,summer,2018/7/7,15:00:00,25.3,48
1,0,22,164,45,16.73,0.96,0.5,2.2,0,summer,2018/7/7,15:30:00,27.2,52
1,0,22,164,45,16.73,0.96,1,1.2,0,summer,2018/7/7,16:00:00,27.5,52
1,0,22,164,45,16.73,0.96,0,1.6,0,summer,2018/7/7,16:30:00,27.1,52
1,0,22,164,45,16.73,0.96,-1,-0.5,0,summer,2018/7/7,17:00:00,25.2,47
1,0,22,164,45,16.73,0.96,-1.7,-1.2,0,summer,2018/7/7,17:30:00,24.6,48
1,0,22,164,45,16.73,0.96,2,-0.5,0,summer,2018/7/8,8:50:00,22.4,66
1,0,22,164,45,16.73,0.96,1.5,-0.5,0,summer,2018/7/8,9:00:00,22.7,66
1,0,22,164,45,16.73,0.96,-1,0.5,0,summer,2018/7/8,9:30:00,23.3,58
1,0,22,164,45,16.73,0.96,0,3,0,summer,2018/7/8,10:00:00,24.9,58
1,0,22,164,45,16.73,0.96,0.5,2.2,0,summer,2018/7/8,10:30:00,25.5,65
1,0,22,164,45,16.73,0.96,0.7,1,0,summer,2018/7/8,11:00:00,25.9,71
1,0,22,164,45,16.73,0.96,1,-0.5,0,summer,2018/7/8,11:30:00,26.3,67
1,0,22,164,45,16.73,0.96,1,0.5,0,summer,2018/7/8,12:00:00,26.5,66
1,0,22,164,45,16.73,0.96,1,0.5,0,summer,2018/7/8,14:20:00,23.3,59
1,0,22,164,45,16.73,0.96,0.2,0.5,0,summer,2018/7/8,14:30:00,23.9,59
1,0,22,164,45,16.73,0.96,-0.7,-0.5,0,summer,2018/7/8,15:00:00,23.8,55
1,0,22,164,45,16.73,0.96,0.2,0.5,0,summer,2018/7/8,15:30:00,25.5,60
1,0,22,164,45,16.73,0.96,0.2,0.5,0,summer,2018/7/8,16:00:00,26,63
1,0,22,164,45,16.73,0.96,0,0.5,0,summer,2018/7/8,16:30:00,26.5,63
1,0,22,164,45,16.73,0.96,1,0.5,0,summer,2018/7/8,17:00:00,26.8,64
1,0,22,164,45,16.73,0.96,2,-1.7,0,summer,2018/7/8,17:30:00,27.7,63
1,0,22,164,45,16.73,0.96,1.5,-0.5,0,summer,2018/7/9,8:50:00,23.1,66
1,0,22,164,45,16.73,0.96,0,2.5,0,summer,2018/7/9,9:00:00,23.7,64
1,0,22,164,45,16.73,0.96,-1,-0.5,0,summer,2018/7/9,9:30:00,23.7,57
1,0,22,164,45,16.73,0.96,0,3,0,summer,2018/7/9,10:00:00,26.3,55
1,0,22,164,45,16.73,0.96,0,3,0,summer,2018/7/9,10:30:00,26.7,59
1,0,22,164,45,16.73,0.96,0,3,0,summer,2018/7/9,11:00:00,27.1,58
1,0,22,164,45,16.73,0.96,0,3,0,summer,2018/7/9,11:30:00,27.3,59
1,0,22,164,45,16.73,0.96,0,3,0,summer,2018/7/9,12:00:00,27.6,59
1,0,22,164,45,16.73,0.96,1.5,-2,0,summer,2018/7/9,14:20:00,27,61
1,0,22,164,45,16.73,0.96,1,-0.5,0,summer,2018/7/9,14:30:00,27,61
1,0,22,164,45,16.73,0.96,0,2.5,0,summer,2018/7/9,15:00:00,26.5,56
1,0,22,164,45,16.73,0.96,0,3,0,summer,2018/7/9,15:30:00,26.4,59
1,0,22,164,45,16.73,0.96,-0.5,2,0,summer,2018/7/9,16:00:00,25.8,53
1,0,22,164,45,16.73,0.96,-1,0.5,0,summer,2018/7/9,16:30:00,26,58
1,0,22,164,45,16.73,0.96,-1,1.5,0,summer,2018/7/9,17:00:00,26,59
1,0,22,164,45,16.73,0.96,0,0.5,0,summer,2018/7/9,17:30:00,26.1,58
1,0,22,164,45,16.73,0.96,1.5,-1.5,0,summer,2018/7/10,8:50:00,28.5,58
1,0,22,164,45,16.73,0.96,2.5,-2.5,0,summer,2018/7/10,9:00:00,30,52
1,0,22,164,45,16.73,0.96,1,0.5,0,summer,2018/7/10,9:30:00,28.8,58
1,0,22,164,45,16.73,0.96,0,2.5,0,summer,2018/7/10,10:00:00,27.2,54
1,0,22,164,45,16.73,0.96,0,2.5,0,summer,2018/7/10,10:30:00,26.5,53
1,0,22,164,45,16.73,0.96,-0.3,2,0,summer,2018/7/10,11:00:00,25.3,51
1,0,22,164,45,16.73,0.96,0,2.3,0,summer,2018/7/10,11:30:00,25.1,56
1,0,22,164,45,16.73,0.96,0,2.2,0,summer,2018/7/10,12:00:00,25.6,55
1,0,22,164,45,16.73,0.96,0.5,0.5,0,summer,2018/7/10,14:20:00,24.6,57
1,0,22,164,45,16.73,0.96,0,2.5,0,summer,2018/7/10,14:30:00,25.1,56
1,0,22,164,45,16.73,0.96,0,3,0,summer,2018/7/10,15:00:00,26.4,58
1,0,22,164,45,16.73,0.96,0.2,3,0,summer,2018/7/10,15:30:00,27.2,59
1,0,22,164,45,16.73,0.96,1,0.5,0,summer,2018/7/10,16:00:00,27.8,61
1,0,22,164,45,16.73,0.96,0.5,1.5,0,summer,2018/7/10,16:30:00,28.2,60
1,0,22,164,45,16.73,0.96,0,1.5,0,summer,2018/7/10,17:00:00,28.2,61
1,0,22,164,45,16.73,0.96,1,0.5,0,summer,2018/7/10,17:30:00,28.5,61
1,0,22,164,45,16.73,0.96,2,-2,0,summer,2018/7/11,8:50:00,27.2,61
1,0,22,164,45,16.73,0.96,1,-0.5,0,summer,2018/7/11,9:00:00,27.2,61
1,0,22,164,45,16.73,0.96,2,-2,0,summer,2018/7/11,9:30:00,29.4,56
1,0,22,164,45,16.73,0.96,-0.5,0.5,0,summer,2018/7/11,10:00:00,26.5,54
1,0,22,164,45,16.73,0.96,-1,-0.5,0,summer,2018/7/11,10:30:00,25.9,52
1,0,22,164,45,16.73,0.96,-1.5,-1,0,summer,2018/7/11,11:00:00,25.4,53
1,0,22,164,45,16.73,0.96,-1,0.5,0,summer,2018/7/11,11:30:00,25.6,53
1,0,22,164,45,16.73,0.96,-2,-2,0,summer,2018/7/11,12:00:00,25,52
1,0,22,164,45,16.73,0.96,1,0.5,0,summer,2018/7/11,14:20:00,24.3,58
1,0,22,164,45,16.73,0.96,0,2.5,0,summer,2018/7/11,14:30:00,24.6,58
1,0,22,164,45,16.73,0.96,-0.5,1,0,summer,2018/7/11,15:00:00,24.8,54
1,0,22,164,45,16.73,0.96,0,2.5,0,summer,2018/7/11,15:30:00,25.9,53
1,0,22,164,45,16.73,0.96,0,3,0,summer,2018/7/11,16:00:00,26.8,54
1,0,22,164,45,16.73,0.96,0.7,0.8,0,summer,2018/7/11,16:30:00,27.3,54
1,0,22,164,45,16.73,0.96,0,0.7,0,summer,2018/7/11,17:00:00,27.5,56
1,0,22,164,45,16.73,0.96,0,1.5,0,summer,2018/7/11,17:30:00,27.7,57
1,0,22,164,45,16.73,0.96,0,1,0,summer,2018/7/12,8:50:00,23,59
1,0,22,164,45,16.73,0.96,0,1,0,summer,2018/7/12,9:00:00,23.6,58
1,0,22,164,45,16.73,0.96,-0.2,2,0,summer,2018/7/12,9:30:00,24,59
1,0,22,164,45,16.73,0.96,0,2,0,summer,2018/7/12,10:00:00,25.4,58
1,0,22,164,45,16.73,0.96,0,3,0,summer,2018/7/12,10:30:00,26.3,58
1,0,22,164,45,16.73,0.96,0,3,0,summer,2018/7/12,11:00:00,26.8,58
1,0,22,164,45,16.73,0.96,0.5,1.5,0,summer,2018/7/12,11:30:00,27.2,58
1,0,22,164,45,16.73,0.96,0,2,0,summer,2018/7/12,12:00:00,27.5,57
1,0,22,164,45,16.73,0.96,1,0.5,0,summer,2018/7/12,14:20:00,27,58
1,0,22,164,45,16.73,0.96,0,1.5,0,summer,2018/7/12,14:30:00,26.1,60
1,0,22,164,45,16.73,0.96,0,0.5,0,summer,2018/7/12,15:00:00,24.6,48
1,0,22,164,45,16.73,0.96,-0.5,0.5,0,summer,2018/7/12,15:30:00,23.7,53
1,0,22,164,45,16.73,0.96,-1,-0.5,0,summer,2018/7/12,16:00:00,24.6,50
1,0,22,164,45,16.73,0.96,-0.5,0.5,0,summer,2018/7/12,16:30:00,24.8,54
1,0,22,164,45,16.73,0.96,0,2,0,summer,2018/7/12,17:00:00,25.9,52
1,0,22,164,45,16.73,0.96,0.5,0.5,0,summer,2018/7/12,17:30:00,27.5,57
1,0,22,164,45,16.73,0.96,2,-3,0,summer,2018/7/13,8:50:00,26.5,62
1,0,22,164,45,16.73,0.96,1.5,-1.5,0,summer,2018/7/13,9:00:00,26.8,62
1,0,22,164,45,16.73,0.96,0.5,1.5,0,summer,2018/7/13,9:30:00,26.1,59
1,0,22,164,45,16.73,0.96,-0.2,0.5,0,summer,2018/7/13,10:00:00,25.2,54
1,0,22,164,45,16.73,0.96,-1,2.5,0,summer,2018/7/13,10:30:00,24.5,49
1,0,22,164,45,16.73,0.96,-0.5,1.5,0,summer,2018/7/13,11:00:00,25.1,54
1,0,22,164,45,16.73,0.96,-0.5,0.5,0,summer,2018/7/13,11:30:00,25.3,55
1,0,22,164,45,16.73,0.96,-1,0.5,0,summer,2018/7/13,12:00:00,25.4,54
1,0,22,164,45,16.73,0.96,2,-1.5,0,summer,2018/7/13,14:20:00,25.4,64
1,0,22,164,45,16.73,0.96,0.5,2,0,summer,2018/7/13,14:30:00,25.6,61
1,0,22,164,45,16.73,0.96,0,2,0,summer,2018/7/13,15:00:00,25.3,51
1,0,22,164,45,16.73,0.96,-0.5,0.5,0,summer,2018/7/13,15:30:00,25.6,49
1,0,22,164,45,16.73,0.96,-1,-0.5,0,summer,2018/7/13,16:00:00,25.6,48
1,0,22,164,45,16.73,0.96,-0.2,0.5,0,summer,2018/7/13,16:30:00,27,53
1,0,22,164,45,16.73,0.96,-0.2,0.5,0,summer,2018/7/13,17:00:00,27,53
1,0,22,164,45,16.73,0.96,-0.2,0.5,0,summer,2018/7/13,17:30:00,27,53
1,0,22,164,45,16.73,0.96,3,-2.5,0,summer,2018/7/16,8:50:00,28.6,57
1,0,22,164,45,16.73,0.96,2.5,-2,0,summer,2018/7/16,9:00:00,28.9,58
1,0,22,164,45,16.73,0.96,0,1,0,summer,2018/7/16,9:30:00,25.5,52
1,0,22,164,45,16.73,0.96,0,1,0,summer,2018/7/16,10:00:00,25.5,52
1,0,22,164,45,16.73,0.96,0,1,0,summer,2018/7/16,10:30:00,25.5,52
1,0,22,164,45,16.73,0.96,0,1,0,summer,2018/7/16,11:00:00,25.5,52
1,0,22,164,45,16.73,0.96,0,1,0,summer,2018/7/16,11:30:00,25.5,52
1,0,22,164,45,16.73,0.96,0,1,0,summer,2018/7/16,12:00:00,25.5,52
1,0,22,164,45,16.73,0.96,1.5,0.5,0,summer,2018/7/16,14:20:00,24.5,56
1,0,22,164,45,16.73,0.96,0.5,0.5,0,summer,2018/7/16,14:30:00,24.2,56
1,0,22,164,45,16.73,0.96,0,2,0,summer,2018/7/16,15:00:00,24.6,54
1,0,22,164,45,16.73,0.96,0,2,0,summer,2018/7/16,15:30:00,24.6,54
1,0,22,164,45,16.73,0.96,-0.4,1,1,summer,2018/7/16,16:00:00,25.3,49
1,0,22,164,45,16.73,0.96,-2,-2,1,summer,2018/7/16,16:30:00,23,50
1,0,22,164,45,16.73,0.96,-2,-2.5,1,summer,2018/7/16,17:00:00,22,52
1,0,22,164,45,16.73,0.96,-2.5,-2.5,1,summer,2018/7/16,17:30:00,21.9,53
1,0,22,164,45,16.73,0.96,-3,-2,1,summer,2018/7/16,18:00:00,21.5,52
1,0,22,164,45,16.73,0.96,-1,0.5,0,summer,2018/7/17,8:50:00,22.1,54
1,0,22,164,45,16.73,0.96,-0.5,0.5,0,summer,2018/7/17,9:00:00,22.7,53
1,0,22,164,45,16.73,0.96,-0.5,1,0,summer,2018/7/17,9:30:00,23.8,55
1,0,22,164,45,16.73,0.96,0,3,0,summer,2018/7/17,10:00:00,25.3,57
1,0,22,164,45,16.73,0.96,0,2,0,summer,2018/7/17,10:30:00,25.9,58
1,0,22,164,45,16.73,0.96,0.5,0.5,0,summer,2018/7/17,11:00:00,26.5,59
1,0,22,164,45,16.73,0.96,1,-0.5,0,summer,2018/7/17,11:30:00,26.2,59
1,0,22,164,45,16.73,0.96,1,-0.5,0,summer,2018/7/17,12:00:00,27.1,59
1,0,22,164,45,16.73,0.96,2,-0.5,0,summer,2018/7/17,14:20:00,27.3,59
1,0,22,164,45,16.73,0.96,2,-1.5,0,summer,2018/7/17,14:30:00,27.7,63
1,0,22,164,45,16.73,0.96,0,0.5,1,summer,2018/7/17,15:00:00,24.2,54
1,0,22,164,45,16.73,0.96,-1,-0.5,1,summer,2018/7/17,15:30:00,23,50
1,0,22,164,45,16.73,0.96,-1.5,0,1,summer,2018/7/17,16:00:00,23,51
1,0,22,164,45,16.73,0.96,-2.5,-2,1,summer,2018/7/17,16:30:00,23,53
1,0,22,164,45,16.73,0.96,0,3,0,summer,2018/7/17,17:00:00,26.3,53
1,0,22,164,45,16.73,0.96,0,2.5,0,summer,2018/7/17,17:30:00,27,53
1,0,22,164,45,16.73,0.96,2,-1.5,0,summer,2018/7/18,14:20:00,27.2,50
1,0,22,164,45,16.73,0.96,2,-2,0,summer,2018/7/18,14:30:00,27.2,50
1,0,22,164,45,16.73,0.96,2.5,-2.5,0,summer,2018/7/18,15:00:00,29,48
1,0,22,164,45,16.73,0.96,2.5,-2,0,summer,2018/7/18,15:30:00,29.7,46
1,0,22,164,45,16.73,0.96,0,1,1,summer,2018/7/18,16:00:00,26.5,44
