no,gender,age,height,weight,bmi,griffith,sensitivity,environment,thermal sensation,thermal comfort,thermal preference,room,seat,season,date,time,ta,hr
1,1,25,186,90,0,0.84,2,1,-1,2,3,202,2,summer,2019/7/16,11:09:00,24.4,51.99
1,1,25,186,90,0,0.84,2,1,0,1,2,202,2,summer,2019/7/16,11:39:00,25.5,53.62
1,1,25,186,90,0,0.84,2,1,-1,2,3,202,2,summer,2019/7/16,10:02:00,24.9,50.67
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,202,2,summer,2019/7/16,9:32:00,25.3,50.51
1,1,25,186,90,0,0.84,2,1,0.5,1,1,202,2,summer,2019/7/16,9:01:00,26.4,53.89
1,1,25,186,90,0,0.84,2,1,-0.5,2,3,217,2,summer,2019/7/15,17:34:00,25.5,47.23
1,1,25,186,90,0,0.84,2,1,-0.5,2,3,217,2,summer,2019/7/15,17:04:00,25.6,47.54
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/15,16:32:00,25.5,46.81
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/15,16:02:00,25.8,47.05
1,1,25,186,90,0,0.84,2,1,-0.5,1,3,217,2,summer,2019/7/15,15:08:00,25.8,46.67
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/15,14:35:00,25.7,46.74
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/15,11:57:00,26.2,47.1
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/15,11:27:00,26.4,46.83
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/15,10:57:00,26.4,46.61
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/15,10:25:00,26.8,47.23
1,1,25,186,90,0,0.84,2,1,2,2,1,217,2,summer,2019/7/15,9:30:00,28.5,53.66
1,1,25,186,90,0,0.84,2,1,2.5,2,1,217,2,summer,2019/7/15,9:00:00,28.5,55.01
1,1,25,186,90,0,0.84,2,1,-1,2,3,202,2,summer,2019/7/16,10:32:00,24.5,50.84
1,1,25,186,90,0,0.84,2,1,0,1,2,202,2,summer,2019/7/16,12:09:00,26,55.47
1,1,25,186,90,0,0.84,2,1,-1,2,3,202,4,summer,2019/7/17,17:09:00,24.8,54.23
1,1,25,186,90,0,0.84,2,1,0,1,2,202,2,summer,2019/7/16,14:30:00,24,52.44
1,1,25,186,90,0,0.84,2,1,1,2,1,202,4,summer,2019/7/17,16:08:00,26.1,60.19
1,1,25,186,90,0,0.84,2,1,0.5,1,2,202,4,summer,2019/7/17,15:38:00,26,60.26
1,1,25,186,90,0,0.84,2,1,0,1,2,202,4,summer,2019/7/17,15:07:00,25.6,58.05
1,1,25,186,90,0,0.84,2,1,-2,2,3,202,4,summer,2019/7/17,14:37:00,24.8,54.95
1,1,25,186,90,0,0.84,2,1,0,1,2,202,4,summer,2019/7/17,12:06:00,26.4,62.3
1,1,25,186,90,0,0.84,2,1,0,1,2,202,4,summer,2019/7/17,11:36:00,26.2,61.48
1,1,25,186,90,0,0.84,2,1,0,1,2,202,4,summer,2019/7/17,11:06:00,26.1,60
1,1,25,186,90,0,0.84,2,1,0,1,2,202,4,summer,2019/7/17,10:36:00,25.8,57.86
1,1,25,186,90,0,0.84,2,1,-1.5,2,3,202,4,summer,2019/7/17,10:06:00,25,55.3
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,202,4,summer,2019/7/17,9:36:00,25.2,56.04
1,1,25,186,90,0,0.84,2,1,1.5,2,1,202,4,summer,2019/7/17,9:05:00,26.2,63.48
1,1,25,186,90,0,0.84,2,1,0,1,2,202,2,summer,2019/7/16,17:32:00,25.2,55.4
1,1,25,186,90,0,0.84,2,1,0,1,2,202,2,summer,2019/7/16,17:02:00,24.8,53.4
1,1,25,186,90,0,0.84,2,1,-1.5,2,3,202,2,summer,2019/7/16,16:31:00,23.7,52.25
1,1,25,186,90,0,0.84,2,1,-1,2,3,202,2,summer,2019/7/16,16:01:00,23.7,51.84
1,1,25,186,90,0,0.84,2,1,-0.5,2,3,202,2,summer,2019/7/16,15:30:00,23.8,52.39
