no,gender,age,height,weight,bmi,griffith,sensitivity,environment,thermal sensation,thermal comfort,thermal preference,room,seat,season,date,time,ta,hr
1,1,25,186,90,0,0.84,2,1,0.5,1,1,217,2,summer,2019/7/4,9:00:00,25.9,53.07
1,1,25,186,90,0,0.84,2,1,0.5,1,1,217,2,summer,2019/7/4,9:30:00,25.9,53.07
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/4,10:00:00,25.7,52.44
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/4,10:30:00,25.5,51.8
1,1,25,186,90,0,0.84,2,1,-1,2,3,217,2,summer,2019/7/4,11:00:00,25.3,50.93
1,1,25,186,90,0,0.84,2,1,-1,2,3,217,2,summer,2019/7/4,11:30:00,25.3,50.79
1,1,25,186,90,0,0.84,2,1,-1,2,3,217,2,summer,2019/7/4,12:00:00,25.3,50.33
1,1,25,186,90,0,0.84,2,1,-0.5,2,3,217,2,summer,2019/7/4,13:00:00,24.8,49.72
1,1,25,186,90,0,0.84,2,1,-0.5,2,3,217,2,summer,2019/7/4,14:30:00,24.7,49.91
1,1,25,186,90,0,0.84,2,1,-0.5,2,3,217,2,summer,2019/7/4,15:00:00,24.8,48.67
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/4,15:30:00,24.8,49.37
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/4,16:00:00,25.2,49.59
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/4,16:30:00,25.5,48.21
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/4,17:00:00,25.8,46.93
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/4,17:30:00,26,46.71
1,1,25,186,90,0,0.84,2,1,1.5,2,1,217,2,summer,2019/7/8,9:00:00,27.2,46.26
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/8,9:30:00,26.2,46.26
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/8,10:00:00,25.9,45.71
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/8,10:30:00,25.6,45.76
1,1,25,186,90,0,0.84,2,1,-1,2,3,217,2,summer,2019/7/8,11:00:00,25.4,46.13
1,1,25,186,90,0,0.84,2,1,-1,2,3,217,2,summer,2019/7/8,11:30:00,25.2,46.4
1,1,25,186,90,0,0.84,2,1,-1.5,2,3,217,2,summer,2019/7/8,12:00:00,25.1,46.82
1,1,25,186,90,0,0.84,2,1,-2,2,3,217,2,summer,2019/7/8,14:30:00,24.3,50.08
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/8,15:00:00,25.6,50.71
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/8,15:30:00,26.2,53.5
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/8,16:00:00,25.5,52.04
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/8,16:30:00,25.1,50.96
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/8,17:00:00,25.1,53.72
1,1,25,186,90,0,0.84,2,1,-0.5,1,3,217,2,summer,2019/7/8,17:30:00,25.1,54.37
1,1,25,186,90,0,0.84,2,1,2.5,2,1,217,2,summer,2019/7/15,9:00:00,28.5,55.01
1,1,25,186,90,0,0.84,2,1,2,2,1,217,2,summer,2019/7/15,9:30:00,28.5,53.66
1,1,25,186,90,0,0.84,2,1,2,2,1,217,2,summer,2019/7/15,10:00:00,28.5,53.66
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/15,10:30:00,26.8,47.23
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/15,11:00:00,26.4,46.61
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/15,11:30:00,26.4,46.83
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/15,12:00:00,26.2,47.1
1,1,25,186,90,0,0.84,2,1,0,1,2,217,2,summer,2019/7/15,14:30:00,25.7,46.74
1,1,25,186,90,0,0.84,2,1,-0.5,1,3,217,2,summer,2019/7/15,15:00:00,25.8,46.67
1,1,25,186,90,0,0.84,2,1,-0.5,1,3,217,2,summer,2019/7/15,15:30:00,25.8,46.67
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/15,16:00:00,25.8,47.05
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,217,2,summer,2019/7/15,16:30:00,25.5,46.81
1,1,25,186,90,0,0.84,2,1,-0.5,2,3,217,2,summer,2019/7/15,17:00:00,25.6,47.54
1,1,25,186,90,0,0.84,2,1,-0.5,2,3,217,2,summer,2019/7/15,17:30:00,25.5,47.23
1,1,25,186,90,0,0.84,2,1,0.5,1,1,202,2,summer,2019/7/16,9:00:00,26.4,53.89
1,1,25,186,90,0,0.84,2,1,-0.5,1,2,202,2,summer,2019/7/16,9:30:00,25.3,50.51
1,1,25,186,90,0,0.84,2,1,-1,2,3,202,2,summer,2019/7/16,10:00:00,24.9,50.67
1,1,25,186,90,0,0.84,2,1,-1,2,3,202,2,summer,2019/7/16,10:30:00,24.5,50.84
1,1,25,186,90,0,0.84,2,1,-1,2,3,202,2,summer,2019/7/16,11:00:00,24.4,51.99
1,1,25,186,90,0,0.84,2,1,0,1,2,202,2,summer,2019/7/16,11:30:00,25.5,53.62
1,1,25,186,90,0,0.84,2,1,0,1,2,202,2,summer,2019/7/16,12:00:00,26,55.47
1,1,25,186,90,0,0.84,2,1,0,1,2,202,2,summer,2019/7/16,14:30:00,24,52.44
1,1,25,186,90,0,0.84,2,1,-0.5,2,3,202,2,summer,2019/7/16,15:00:00,23.9,52.14
1,1,25,186,90,0,0.84,2,1,-0.5,2,3,202,2,summer,2019/7/16,15:30:00,23.8,52.39
