no,gender,age,height,weight,bmi,griffith,thermal sensation,thermal preference,thermal acceptance,room,co2,air_speed,season,date,time,ta,hr
1,1,24,185,85,24.84,2.14,0,0,1,202,501,0.05,winter,2019/1/9,8:40:00,21,14
1,1,24,185,85,24.84,2.14,0,1,1,202,795,0.11,winter,2019/1/9,9:00:00,22,15
1,1,24,185,85,24.84,2.14,0.5,0,1,202,895,0.11,winter,2019/1/9,9:30:00,24.1,14
1,1,24,185,85,24.84,2.14,0.8,0,1,202,1097,0.08,winter,2019/1/9,10:00:00,25.2,16
1,1,24,185,85,24.84,2.14,0.5,0,1,202,1167,0.07,winter,2019/1/9,10:30:00,25.9,15
1,1,24,185,85,24.84,2.14,0.7,-1,1,202,1164,0.09,winter,2019/1/9,11:00:00,26.1,15
1,1,24,185,85,24.84,2.14,1,-1,1,202,1217,0.05,winter,2019/1/9,11:30:00,26.6,15
1,1,24,185,85,24.84,2.14,1,-1,1,202,1287,0.01,winter,2019/1/9,12:00:00,26.9,16
1,1,24,185,85,24.84,2.14,0,1,1,202,633,0.02,winter,2019/1/9,14:10:00,24,13
1,1,24,185,85,24.84,2.14,0,0,1,202,753,0.06,winter,2019/1/9,14:30:00,23.4,15
1,1,24,185,85,24.84,2.14,-0.5,1,1,202,733,0.12,winter,2019/1/9,15:00:00,23.3,15
1,1,24,185,85,24.84,2.14,-0.5,1,1,202,777,0.11,winter,2019/1/9,15:30:00,23.2,15
1,1,24,185,85,24.84,2.14,-0.7,1,1,202,743,0,winter,2019/1/9,16:00:00,22.8,15
1,1,24,185,85,24.84,2.14,-1,1,1,202,786,0.02,winter,2019/1/9,16:30:00,22.8,16
1,1,24,185,85,24.84,2.14,-1,1,1,202,561,0.1,winter,2019/1/9,17:00:00,21.5,16
1,1,24,185,85,24.84,2.14,-1.4,1,1,202,577,0.08,winter,2019/1/9,17:30:00,21.1,17
1,1,24,185,85,24.84,2.14,0,1,1,202,538,0.01,winter,2019/1/10,8:40:00,21.4,17
