no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,thermal sensation,thermal comfort,thermal preference,season,date,time,room,ta,hr
1,1,23,173,71.4,23.86,-0.06,0,-1,1,1.8,0,1,winter,2021/1/16,10:00:00,5,23.5,19.1
1,1,23,173,71.4,23.86,-0.06,0,-1,1,1.5,1,1,winter,2021/1/16,10:30:00,5,23.8,19.7
1,1,23,173,71.4,23.86,-0.06,0,-1,1,1,1,1,winter,2021/1/16,11:00:00,5,24,19.8
1,1,23,173,71.4,23.86,-0.06,0,-1,1,1.2,1,1,winter,2021/1/16,11:30:00,5,24.1,20.1
1,1,23,173,71.4,23.86,-0.06,0,-1,1,1,1,1,winter,2021/1/16,12:00:00,5,24.2,20.1
1,1,23,173,71.4,23.86,-0.06,0,-1,1,2,0,1,winter,2021/1/16,14:30:00,5,23.9,18.1
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0.7,1,1,winter,2021/1/16,15:00:00,5,24.5,18.1
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/16,15:30:00,5,25.1,18.7
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/16,16:00:00,5,25,19.9
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0.1,1,2,winter,2021/1/16,16:30:00,5,24.9,20.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/16,17:00:00,5,24.9,20.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,-0.1,1,2,winter,2021/1/16,17:30:00,5,24.8,20.1
1,1,23,173,71.4,23.86,-0.06,0,-1,1,1,1,1,winter,2021/1/16,9:00:00,5,22.8,16.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,2,0,1,winter,2021/1/16,9:30:00,5,23.2,18.3
1,1,23,173,71.4,23.86,-0.06,0,-1,1,-0.3,1,3,winter,2021/1/17,10:00:00,6,22,17.5
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/17,10:30:00,6,22.3,16.9
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/17,11:00:00,6,25.3,14.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/17,11:30:00,6,25.8,13.8
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/17,12:00:00,6,26.3,13.3
1,1,23,173,71.4,23.86,-0.06,0,-1,1,1,0,1,winter,2021/1/17,14:30:00,6,27.3,11.6
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0.5,1,1,winter,2021/1/17,15:00:00,6,25.5,13.8
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0.2,1,1,winter,2021/1/17,15:30:00,6,25.3,14.2
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/17,16:00:00,6,25.4,14.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/17,16:30:00,6,25.3,14.3
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/17,17:00:00,6,25.2,14.6
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0.2,1,1,winter,2021/1/17,17:30:00,6,24.9,14.7
1,1,23,173,71.4,23.86,-0.06,0,-1,1,-0.5,1,3,winter,2021/1/17,9:00:00,6,20.9,15.7
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/17,9:30:00,6,21.4,17.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/18,10:00:00,5,23.1,17.1
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0.8,0,1,winter,2021/1/18,10:30:00,5,23.3,17.3
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/18,11:00:00,5,24.4,16.3
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/18,11:30:00,5,24.8,16.8
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/18,12:00:00,5,25.1,17
1,1,23,173,71.4,23.86,-0.06,0,-1,1,1,0,1,winter,2021/1/18,14:30:00,5,25.8,14.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0.6,0,1,winter,2021/1/18,15:00:00,5,25.4,16.3
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0.2,1,1,winter,2021/1/18,15:30:00,5,25.3,17.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/18,16:00:00,5,25.2,18.1
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/18,16:30:00,5,25.1,18
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/18,17:00:00,5,25.1,18.4
1,1,23,173,71.4,23.86,-0.06,0,-1,1,0,1,2,winter,2021/1/18,17:30:00,5,25,18.9
1,1,23,173,71.4,23.86,-0.06,0,-1,1,-0.2,1,3,winter,2021/1/18,9:00:00,5,22.5,14.9
1,1,23,173,71.4,23.86,-0.06,0,-1,1,-0.2,1,3,winter,2021/1/18,9:30:00,5,22.9,16.7
2,1,21,176,56,18.08,1.02,2,0,-1,-2.1,0,1,summer,2021/7/21,9:00:00,5,23.7,58.9
2,1,21,176,56,18.08,1.02,2,0,-1,-1.7,0,1,summer,2021/7/21,9:30:00,5,24,57.4
2,1,21,176,56,18.08,1.02,2,0,-1,-2,0,1,summer,2021/7/21,10:00:00,5,25.4,53
2,1,21,176,56,18.08,1.02,2,0,-1,-1.8,0,1,summer,2021/7/21,10:30:00,5,25.4,51.2
2,1,21,176,56,18.08,1.02,2,0,-1,-1.5,1,1,summer,2021/7/21,11:00:00,5,25.6,51.8
2,1,21,176,56,18.08,1.02,2,0,-1,-1,1,0,summer,2021/7/21,11:30:00,5,25.5,50.4
2,1,21,176,56,18.08,1.02,2,0,-1,-1,1,0,summer,2021/7/21,12:00:00,5,25.4,49.5
2,1,21,176,56,18.08,1.02,2,0,-1,-0.5,1,0,summer,2021/7/22,9:00:00,5,24.4,59.6
2,1,21,176,56,18.08,1.02,2,0,-1,-0.2,1,0,summer,2021/7/22,9:30:00,5,24.6,59.3
2,1,21,176,56,18.08,1.02,2,0,-1,-0.3,1,0,summer,2021/7/22,10:00:00,5,24.6,59.1
2,1,21,176,56,18.08,1.02,2,0,-1,-0.5,1,0,summer,2021/7/22,10:30:00,5,24.7,59.4
2,1,21,176,56,18.08,1.02,2,0,-1,-0.2,1,0,summer,2021/7/22,11:00:00,5,25.3,60.4
2,1,21,176,56,18.08,1.02,2,0,-1,-0.2,1,0,summer,2021/7/22,11:30:00,5,25.6,59.8
2,1,21,176,56,18.08,1.02,2,0,-1,0,1,0,summer,2021/7/22,12:00:00,5,25.8,59.6
2,1,21,176,56,18.08,1.02,2,0,-1,0.6,0,-1,summer,2021/7/22,14:30:00,5,25.9,59
2,1,21,176,56,18.08,1.02,2,0,-1,1,0,-1,summer,2021/7/22,15:00:00,5,26.3,59.4
2,1,21,176,56,18.08,1.02,2,0,-1,1,0,-1,summer,2021/7/22,15:30:00,5,26.4,59.7
2,1,21,176,56,18.08,1.02,2,0,-1,0.6,0,-1,summer,2021/7/22,16:00:00,5,26.8,60.6
2,1,21,176,56,18.08,1.02,2,0,-1,1,0,-1,summer,2021/7/22,16:30:00,5,27,60.8
2,1,21,176,56,18.08,1.02,2,0,-1,0.7,1,-1,summer,2021/7/22,17:00:00,5,27,60.8
2,1,21,176,56,18.08,1.02,2,0,-1,0,1,-1,summer,2021/7/22,17:30:00,5,26.9,60.8
2,1,21,176,56,18.08,1.02,2,0,-1,0.3,1,-1,summer,2021/7/22,18:00:00,5,26.9,61.2
2,1,21,176,56,18.08,1.02,2,0,-1,-0.5,1,0,summer,2021/7/23,9:00:00,5,24.2,62.6
