,no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,thermal sensation,season,date,time,room,ta,hr,va
0,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.8,winter,2021/1/16,10:00:00,5,23.5,19.1,0.84
1,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.5,winter,2021/1/16,10:30:00,5,23.8,19.7,1.08
2,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,winter,2021/1/16,11:00:00,5,24.0,19.8,0.24
3,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.2,winter,2021/1/16,11:30:00,5,24.1,20.1,0.6
4,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,winter,2021/1/16,12:00:00,5,24.2,20.1,0.96
5,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,2.0,winter,2021/1/16,14:30:00,5,23.9,18.1,1.08
6,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.7,winter,2021/1/16,15:00:00,5,24.5,18.1,1.2
7,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/16,15:30:00,5,25.1,18.7,0.12
8,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/16,16:00:00,5,25.0,19.9,0.72
9,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.1,winter,2021/1/16,16:30:00,5,24.9,20.4,1.2
10,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/16,17:00:00,5,24.9,20.4,0.72
11,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,-0.1,winter,2021/1/16,17:30:00,5,24.8,20.1,0.6
12,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,winter,2021/1/16,09:00:00,5,22.8,16.4,0.12
13,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,2.0,winter,2021/1/16,09:30:00,5,23.2,18.3,0.36
14,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,-0.3,winter,2021/1/17,10:00:00,6,22.0,17.5,0.48
15,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/17,10:30:00,6,22.3,16.9,0.48
16,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/17,11:00:00,6,25.3,14.4,0.72
17,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/17,11:30:00,6,25.8,13.8,0.84
18,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/17,12:00:00,6,26.3,13.3,0.12
19,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,winter,2021/1/17,14:30:00,6,27.3,11.6,0.84
20,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.5,winter,2021/1/17,15:00:00,6,25.5,13.8,0.12
21,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.2,winter,2021/1/17,15:30:00,6,25.3,14.2,0.84
22,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/17,16:00:00,6,25.4,14.4,0.84
23,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/17,16:30:00,6,25.3,14.3,0.48
24,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/17,17:00:00,6,25.2,14.6,0.6
25,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.2,winter,2021/1/17,17:30:00,6,24.9,14.7,0.36
26,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,-0.5,winter,2021/1/17,09:00:00,6,20.9,15.7,0.48
27,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/17,09:30:00,6,21.4,17.4,0.6
28,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/18,10:00:00,5,23.1,17.1,0.24
29,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.8,winter,2021/1/18,10:30:00,5,23.3,17.3,0.12
30,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/18,11:00:00,5,24.4,16.3,0.24
31,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/18,11:30:00,5,24.8,16.8,1.08
32,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/18,12:00:00,5,25.1,17.0,0.12
33,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,1.0,winter,2021/1/18,14:30:00,5,25.8,14.4,0.84
34,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.6,winter,2021/1/18,15:00:00,5,25.4,16.3,0.24
35,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.2,winter,2021/1/18,15:30:00,5,25.3,17.4,0.84
36,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/18,16:00:00,5,25.2,18.1,0.84
37,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/18,16:30:00,5,25.1,18.0,1.2
38,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/18,17:00:00,5,25.1,18.4,0.96
39,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,0.0,winter,2021/1/18,17:30:00,5,25.0,18.9,0.96
40,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,-0.2,winter,2021/1/18,09:00:00,5,22.5,14.9,0.36
41,1,1,23,173.0,71.4,23.86,-0.06,0,-1,1,-0.2,winter,2021/1/18,09:30:00,5,22.9,16.7,0.48
42,1.0,1.0,23.0,173.0,71.4,23.86,-0.06,0.0,-1.0,1.0,-0.2,summer,2021/7/21,09:00:00,5,24.97,58.9,0.0
43,1.0,1.0,23.0,173.0,71.4,23.86,-0.06,0.0,-1.0,1.0,-2.2,summer,2021/7/21,09:30:00,5,19.92,57.4,0.6
44,1.0,1.0,23.0,173.0,71.4,23.86,-0.06,0.0,-1.0,1.0,-1.5,summer,2021/7/21,10:00:00,5,21.64,53.0,0.0
45,1.0,1.0,23.0,173.0,71.4,23.86,-0.06,0.0,-1.0,1.0,-0.6,summer,2021/7/21,10:30:00,5,23.99,51.2,0.12
46,1.0,1.0,23.0,173.0,71.4,23.86,-0.06,0.0,-1.0,1.0,-0.5,summer,2021/7/21,11:00:00,5,24.34,51.8,1.2
47,1.0,1.0,23.0,173.0,71.4,23.86,-0.06,0.0,-1.0,1.0,-0.1,summer,2021/7/21,11:30:00,5,25.45,50.4,1.08
48,1.0,1.0,23.0,173.0,71.4,23.86,-0.06,0.0,-1.0,1.0,-1.9,summer,2021/7/21,12:00:00,5,20.709999999999997,49.5,0.36
49,1.0,1.0,23.0,173.0,71.4,23.86,-0.06,0.0,-1.0,1.0,-0.4,summer,2021/7/21,14:30:00,5,24.259999999999998,69.7,0.12
50,1.0,1.0,23.0,173.0,71.4,23.86,-0.06,0.0,-1.0,1.0,-1.0,summer,2021/7/21,15:00:00,5,22.75,67.0,0.6
51,1.0,1.0,23.0,173.0,71.4,23.86,-0.06,0.0,-1.0,1.0,-0.3,summer,2021/7/21,15:30:00,5,24.52,67.0,0.24
52,1.0,1.0,23.0,173.0,71.4,23.86,-0.06,0.0,-1.0,1.0,-2.5,summer,2021/7/21,16:00:00,5,18.92,64.9,1.08
53,1.0,1.0,23.0,173.0,71.4,23.86,-0.06,0.0,-1.0,1.0,-1.9,summer,2021/7/21,16:30:00,5,20.5,64.2,0.36
54,1.0,1.0,23.0,173.0,71.4,23.86,-0.06,0.0,-1.0,1.0,-0.5,summer,2021/7/21,17:00:00,5,24.08,64.0,0.72
55,1.0,1.0,23.0,173.0,71.4,23.86,-0.06,0.0,-1.0,1.0,-1.5,summer,2021/7/21,17:30:00,5,21.48,63.4,1.2
