,ta,hr,tsv
13,28.5,40.0,2
14,29.0,40.0,2
15,29.5,40.0,2
30,29.0,41.0,2
31,29.5,41.0,2
45,28.5,42.0,2
46,29.0,42.0,2
47,29.5,42.0,2
61,28.5,43.0,2
62,29.0,43.0,2
63,29.5,43.0,2
77,28.5,44.0,2
78,29.0,44.0,2
79,29.5,44.0,2
93,28.5,45.0,2
94,29.0,45.0,2
95,29.5,45.0,2
109,28.5,46.0,2
110,29.0,46.0,2
111,29.5,46.0,2
125,28.5,47.0,2
126,29.0,47.0,2
127,29.5,47.0,2
141,28.5,48.0,2
142,29.0,48.0,2
143,29.5,48.0,2
157,28.5,49.0,2
158,29.0,49.0,2
159,29.5,49.0,2
173,28.5,50.0,2
174,29.0,50.0,2
175,29.5,50.0,2
188,28.0,51.0,2
189,28.5,51.0,2
190,29.0,51.0,2
191,29.5,51.0,2
205,28.5,52.0,2
206,29.0,52.0,2
207,29.5,52.0,2
220,28.0,53.0,2
221,28.5,53.0,2
222,29.0,53.0,2
223,29.5,53.0,2
237,28.5,54.0,2
238,29.0,54.0,2
239,29.5,54.0,2
252,28.0,55.0,2
253,28.5,55.0,2
254,29.0,55.0,2
255,29.5,55.0,2
269,28.5,56.0,2
270,29.0,56.0,2
271,29.5,56.0,2
285,28.5,57.0,2
286,29.0,57.0,2
287,29.5,57.0,2
300,28.0,58.0,2
301,28.5,58.0,2
302,29.0,58.0,2
303,29.5,58.0,2
317,28.5,59.0,2
318,29.0,59.0,2
319,29.5,59.0,2
333,28.5,60.0,2
334,29.0,60.0,2
335,29.5,60.0,2
348,28.0,61.0,2
349,28.5,61.0,2
350,29.0,61.0,2
351,29.5,61.0,2
365,28.5,62.0,2
366,29.0,62.0,2
367,29.5,62.0,2
380,28.0,63.0,2
381,28.5,63.0,2
382,29.0,63.0,2
383,29.5,63.0,2
396,28.0,64.0,2
397,28.5,64.0,2
398,29.0,64.0,2
399,29.5,64.0,2
412,28.0,65.0,2
413,28.5,65.0,2
414,29.0,65.0,2
415,29.5,65.0,2
429,28.5,66.0,2
430,29.0,66.0,2
431,29.5,66.0,2
444,28.0,67.0,2
445,28.5,67.0,2
446,29.0,67.0,2
447,29.5,67.0,2
460,28.0,68.0,2
461,28.5,68.0,2
462,29.0,68.0,2
463,29.5,68.0,2
476,28.0,69.0,2
477,28.5,69.0,2
478,29.0,69.0,2
479,29.5,69.0,2
492,28.0,70.0,2
493,28.5,70.0,2
494,29.0,70.0,2
495,29.5,70.0,2
