no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,season,ta,hr,va,date,time
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,20.0,10,0.72,0,0
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,20.33,10,0.12,0,1
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,20.29,10,0.6,0,2
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,20.98,10,0.96,0,3
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,20.0,10,1.2,0,0
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,20.3,10,0.84,0,1
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,20.11,10,0.84,0,2
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,20.29,10,0.12,0,3
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,20.0,10,0.0,0,0
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,20.46,10,0.6,0,1
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,20.14,10,0.36,0,2
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,20.31,10,0.12,0,3
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,20.0,10,0.72,0,0
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,20.43,10,0.6,0,1
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,20.65,10,0.0,0,2
19.0,1.0,23.0,180.0,65.0,20.06,0.96,1.0,1.0,1.0,1.0,20.78,10,0.12,0,3
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,20.0,10,0.12,0,0
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,20.42,10,0.12,0,1
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,20.4,10,0.24,0,2
29.0,0.0,24.0,164.0,47.0,17.47,0.94,1.0,0.0,1.0,1.0,20.84,10,0.72,0,3
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,20.0,10,1.2,0,0
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,20.9,10,1.08,0,1
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,20.94,10,0.6,0,2
37.0,0.0,25.0,162.0,50.0,19.05,1.24,2.0,-1.0,1.0,1.0,20.33,10,0.96,0,3
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,20.0,10,0.84,0,0
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,20.79,10,0.24,0,1
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,20.68,10,0.48,0,2
39.0,1.0,21.0,185.0,74.0,21.62,-0.83,1.0,-1.0,0.0,1.0,20.6,10,0.84,0,3
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,20.0,10,0.72,0,0
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,20.56,10,0.24,0,1
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,20.58,10,0.48,0,2
44.0,1.0,23.0,181.0,76.0,23.2,1.24,1.0,1.0,0.0,1.0,20.6,10,0.72,0,3
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,20.0,10,0.12,0,0
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,20.97,10,0.84,0,1
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,20.01,10,0.84,0,2
46.0,1.0,22.0,179.0,77.0,24.03,0.89,0.0,0.0,1.0,1.0,20.73,10,0.12,0,3
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,20.0,10,0.48,0,0
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,20.12,10,0.96,0,1
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,20.54,10,0.6,0,2
54.0,1.0,24.0,173.0,70.0,23.39,2.0,0.0,0.0,1.0,1.0,20.33,10,0.84,0,3
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,20.5,10,0.72,1,0
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,20.97,10,0.24,1,1
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,21.39,10,1.2,1,2
3.0,1.0,23.0,173.0,85.0,28.4,1.28,0.0,-1.0,0.0,1.0,20.67,10,0.36,1,3
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,20.5,10,0.24,1,0
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,20.97,10,0.12,1,1
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,21.03,10,1.08,1,2
7.0,1.0,24.0,183.0,60.0,17.92,2.37,0.0,-1.0,0.0,1.0,21.3,10,0.84,1,3
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,20.5,10,0.48,1,0
16.0,1.0,22.0,180.0,66.0,20.37,2.27,1.0,-1.0,1.0,1.0,20.76,10,0.6,1,1
