season,ta,hr,va
1.0,20.0,10,0.96
1.0,20.5,10,0.36
1.0,21.0,10,0.12
1.0,21.5,10,0.0
1.0,22.0,10,1.2
1.0,22.5,10,0.12
1.0,23.0,10,0.84
1.0,23.5,10,0.6
1.0,24.0,10,1.08
1.0,24.5,10,0.6
1.0,25.0,10,0.6
1.0,25.5,10,0.12
1.0,26.0,10,0.36
1.0,26.5,10,1.08
1.0,27.0,10,0.6
1.0,27.5,10,1.08
1.0,20.0,11,0.84
1.0,20.5,11,0.72
1.0,21.0,11,1.08
1.0,21.5,11,1.08
1.0,22.0,11,0.84
1.0,22.5,11,0.36
1.0,23.0,11,0.96
1.0,23.5,11,0.12
1.0,24.0,11,0.0
1.0,24.5,11,0.12
1.0,25.0,11,0.84
1.0,25.5,11,1.08
1.0,26.0,11,0.6
1.0,26.5,11,0.24
1.0,27.0,11,0.84
1.0,27.5,11,0.84
1.0,20.0,12,0.48
1.0,20.5,12,0.48
1.0,21.0,12,0.48
1.0,21.5,12,0.96
1.0,22.0,12,0.12
1.0,22.5,12,0.48
1.0,23.0,12,0.84
1.0,23.5,12,0.12
1.0,24.0,12,0.48
1.0,24.5,12,1.08
1.0,25.0,12,0.36
1.0,25.5,12,0.12
1.0,26.0,12,0.6
1.0,26.5,12,0.72
1.0,27.0,12,0.48
1.0,27.5,12,0.6
1.0,20.0,13,0.36
1.0,20.5,13,0.96
1.0,21.0,13,0.12
1.0,21.5,13,0.24
1.0,22.0,13,0.12
1.0,22.5,13,0.96
1.0,23.0,13,0.48
1.0,23.5,13,1.08
1.0,24.0,13,0.72
1.0,24.5,13,0.96
1.0,25.0,13,0.0
1.0,25.5,13,1.2
1.0,26.0,13,0.48
1.0,26.5,13,1.08
1.0,27.0,13,1.2
1.0,27.5,13,0.6
1.0,20.0,14,0.12
1.0,20.5,14,0.72
1.0,21.0,14,0.6
1.0,21.5,14,0.0
1.0,22.0,14,0.72
1.0,22.5,14,0.36
1.0,23.0,14,0.36
1.0,23.5,14,0.6
1.0,24.0,14,0.84
1.0,24.5,14,0.0
1.0,25.0,14,0.24
1.0,25.5,14,1.08
1.0,26.0,14,0.12
1.0,26.5,14,0.96
1.0,27.0,14,0.36
1.0,27.5,14,0.12
1.0,20.0,15,0.96
1.0,20.5,15,0.96
1.0,21.0,15,0.48
1.0,21.5,15,0.6
1.0,22.0,15,0.0
1.0,22.5,15,1.08
1.0,23.0,15,0.6
1.0,23.5,15,0.96
1.0,24.0,15,0.84
1.0,24.5,15,0.6
1.0,25.0,15,1.08
1.0,25.5,15,0.48
1.0,26.0,15,0.12
1.0,26.5,15,0.36
1.0,27.0,15,0.36
1.0,27.5,15,0.48
1.0,20.0,16,0.72
1.0,20.5,16,0.48
1.0,21.0,16,0.36
1.0,21.5,16,0.72
1.0,22.0,16,0.48
1.0,22.5,16,1.08
1.0,23.0,16,0.72
1.0,23.5,16,0.6
1.0,24.0,16,0.72
1.0,24.5,16,0.96
1.0,25.0,16,0.96
1.0,25.5,16,0.48
1.0,26.0,16,0.84
1.0,26.5,16,1.2
1.0,27.0,16,1.08
1.0,27.5,16,0.0
1.0,20.0,17,0.6
1.0,20.5,17,0.36
1.0,21.0,17,0.36
1.0,21.5,17,0.84
1.0,22.0,17,0.36
1.0,22.5,17,0.0
1.0,23.0,17,0.48
1.0,23.5,17,1.08
1.0,24.0,17,1.2
1.0,24.5,17,0.24
1.0,25.0,17,0.6
1.0,25.5,17,1.08
1.0,26.0,17,0.6
1.0,26.5,17,1.08
1.0,27.0,17,0.24
1.0,27.5,17,0.12
1.0,20.0,18,0.48
1.0,20.5,18,0.12
1.0,21.0,18,0.84
1.0,21.5,18,0.24
1.0,22.0,18,1.08
1.0,22.5,18,1.08
1.0,23.0,18,1.08
1.0,23.5,18,1.2
1.0,24.0,18,0.0
1.0,24.5,18,0.96
1.0,25.0,18,0.24
1.0,25.5,18,0.24
1.0,26.0,18,1.08
1.0,26.5,18,0.84
1.0,27.0,18,0.84
1.0,27.5,18,0.48
1.0,20.0,19,0.48
1.0,20.5,19,0.12
1.0,21.0,19,0.84
1.0,21.5,19,0.24
1.0,22.0,19,0.72
1.0,22.5,19,0.36
1.0,23.0,19,0.72
1.0,23.5,19,1.08
1.0,24.0,19,0.24
1.0,24.5,19,0.84
1.0,25.0,19,0.0
1.0,25.5,19,0.0
1.0,26.0,19,1.08
1.0,26.5,19,0.48
1.0,27.0,19,0.36
1.0,27.5,19,1.2
1.0,20.0,20,0.72
1.0,20.5,20,0.0
1.0,21.0,20,0.36
1.0,21.5,20,0.24
1.0,22.0,20,1.08
1.0,22.5,20,0.96
1.0,23.0,20,0.96
1.0,23.5,20,0.84
1.0,24.0,20,0.36
1.0,24.5,20,0.6
1.0,25.0,20,0.72
1.0,25.5,20,0.6
1.0,26.0,20,0.96
1.0,26.5,20,0.96
1.0,27.0,20,0.12
1.0,27.5,20,0.36
1.0,20.0,21,0.12
1.0,20.5,21,0.24
1.0,21.0,21,0.84
1.0,21.5,21,0.24
1.0,22.0,21,0.96
1.0,22.5,21,0.84
1.0,23.0,21,0.48
1.0,23.5,21,0.48
1.0,24.0,21,0.48
1.0,24.5,21,0.96
1.0,25.0,21,0.96
1.0,25.5,21,0.6
1.0,26.0,21,0.48
1.0,26.5,21,0.24
1.0,27.0,21,1.08
1.0,27.5,21,0.36
1.0,20.0,22,1.08
1.0,20.5,22,0.72
1.0,21.0,22,1.2
1.0,21.5,22,0.12
1.0,22.0,22,0.84
1.0,22.5,22,0.84
1.0,23.0,22,0.6
1.0,23.5,22,1.08
1.0,24.0,22,0.48
1.0,24.5,22,0.72
1.0,25.0,22,0.6
1.0,25.5,22,0.12
1.0,26.0,22,1.08
1.0,26.5,22,0.48
1.0,27.0,22,0.36
1.0,27.5,22,0.24
1.0,20.0,23,0.96
1.0,20.5,23,0.48
1.0,21.0,23,0.36
1.0,21.5,23,0.96
1.0,22.0,23,0.96
1.0,22.5,23,0.6
1.0,23.0,23,0.12
1.0,23.5,23,0.84
1.0,24.0,23,0.36
1.0,24.5,23,1.08
1.0,25.0,23,0.6
1.0,25.5,23,0.48
1.0,26.0,23,0.48
1.0,26.5,23,1.08
1.0,27.0,23,1.08
1.0,27.5,23,0.0
1.0,20.0,24,0.96
1.0,20.5,24,0.48
1.0,21.0,24,0.36
1.0,21.5,24,0.6
1.0,22.0,24,0.0
1.0,22.5,24,0.12
1.0,23.0,24,1.08
1.0,23.5,24,0.12
1.0,24.0,24,0.36
1.0,24.5,24,1.08
1.0,25.0,24,0.6
1.0,25.5,24,0.96
1.0,26.0,24,1.08
1.0,26.5,24,0.84
1.0,27.0,24,0.12
1.0,27.5,24,0.6
1.0,20.0,25,0.96
1.0,20.5,25,1.08
1.0,21.0,25,0.12
1.0,21.5,25,0.24
1.0,22.0,25,0.24
1.0,22.5,25,0.6
1.0,23.0,25,0.36
1.0,23.5,25,1.2
1.0,24.0,25,0.36
1.0,24.5,25,0.72
1.0,25.0,25,0.0
1.0,25.5,25,0.12
1.0,26.0,25,0.24
1.0,26.5,25,1.08
1.0,27.0,25,0.12
1.0,27.5,25,1.2
0.0,22.0,40,0.12
0.0,22.5,40,0.36
0.0,23.0,40,1.2
0.0,23.5,40,0.96
0.0,24.0,40,0.96
0.0,24.5,40,0.0
0.0,25.0,40,0.36
0.0,25.5,40,0.0
0.0,26.0,40,0.12
0.0,26.5,40,0.36
0.0,27.0,40,1.08
0.0,27.5,40,0.84
0.0,28.0,40,0.36
0.0,28.5,40,0.48
0.0,29.0,40,1.2
0.0,29.5,40,1.2
0.0,22.0,41,0.84
0.0,22.5,41,0.12
0.0,23.0,41,0.36
0.0,23.5,41,0.6
0.0,24.0,41,0.84
0.0,24.5,41,1.08
0.0,25.0,41,0.24
0.0,25.5,41,1.08
0.0,26.0,41,0.12
0.0,26.5,41,0.84
0.0,27.0,41,0.48
0.0,27.5,41,0.12
0.0,28.0,41,0.72
0.0,28.5,41,0.96
0.0,29.0,41,0.48
0.0,29.5,41,0.24
0.0,22.0,42,0.84
0.0,22.5,42,0.36
0.0,23.0,42,0.36
0.0,23.5,42,0.36
0.0,24.0,42,1.08
0.0,24.5,42,0.96
0.0,25.0,42,0.36
0.0,25.5,42,0.48
0.0,26.0,42,0.84
0.0,26.5,42,0.36
0.0,27.0,42,1.08
0.0,27.5,42,0.24
0.0,28.0,42,0.72
0.0,28.5,42,0.24
0.0,29.0,42,0.84
0.0,29.5,42,0.96
0.0,22.0,43,0.12
0.0,22.5,43,0.36
0.0,23.0,43,0.48
0.0,23.5,43,0.48
0.0,24.0,43,1.2
0.0,24.5,43,0.0
0.0,25.0,43,1.08
0.0,25.5,43,0.6
0.0,26.0,43,0.12
0.0,26.5,43,0.84
0.0,27.0,43,0.84
0.0,27.5,43,0.0
0.0,28.0,43,0.96
0.0,28.5,43,0.84
0.0,29.0,43,0.12
0.0,29.5,43,0.96
0.0,22.0,44,0.0
0.0,22.5,44,0.72
0.0,23.0,44,1.2
0.0,23.5,44,1.08
0.0,24.0,44,0.12
0.0,24.5,44,0.6
0.0,25.0,44,1.08
0.0,25.5,44,0.48
0.0,26.0,44,0.36
0.0,26.5,44,0.72
0.0,27.0,44,0.6
0.0,27.5,44,0.72
0.0,28.0,44,0.24
0.0,28.5,44,0.96
0.0,29.0,44,0.6
0.0,29.5,44,0.84
0.0,22.0,45,0.24
0.0,22.5,45,0.96
0.0,23.0,45,0.72
0.0,23.5,45,0.24
0.0,24.0,45,0.48
0.0,24.5,45,0.96
0.0,25.0,45,0.48
0.0,25.5,45,0.96
0.0,26.0,45,1.08
0.0,26.5,45,0.6
0.0,27.0,45,0.96
0.0,27.5,45,0.72
0.0,28.0,45,0.84
0.0,28.5,45,0.72
0.0,29.0,45,0.0
0.0,29.5,45,0.12
0.0,22.0,46,1.08
0.0,22.5,46,0.6
0.0,23.0,46,0.24
0.0,23.5,46,0.12
0.0,24.0,46,0.84
0.0,24.5,46,0.36
0.0,25.0,46,0.0
0.0,25.5,46,0.48
0.0,26.0,46,0.36
0.0,26.5,46,0.36
0.0,27.0,46,0.6
0.0,27.5,46,0.0
0.0,28.0,46,0.36
0.0,28.5,46,0.84
0.0,29.0,46,0.84
0.0,29.5,46,0.48
0.0,22.0,47,0.72
0.0,22.5,47,0.72
0.0,23.0,47,0.6
0.0,23.5,47,0.24
0.0,24.0,47,0.96
0.0,24.5,47,0.84
0.0,25.0,47,0.24
0.0,25.5,47,0.48
0.0,26.0,47,0.48
0.0,26.5,47,0.36
0.0,27.0,47,0.84
0.0,27.5,47,0.6
0.0,28.0,47,0.84
0.0,28.5,47,0.84
0.0,29.0,47,0.84
0.0,29.5,47,0.12
0.0,22.0,48,0.6
0.0,22.5,48,0.36
0.0,23.0,48,0.36
0.0,23.5,48,0.36
0.0,24.0,48,1.08
0.0,24.5,48,1.2
0.0,25.0,48,0.48
0.0,25.5,48,0.72
0.0,26.0,48,0.72
0.0,26.5,48,0.84
0.0,27.0,48,0.84
0.0,27.5,48,0.12
0.0,28.0,48,0.36
0.0,28.5,48,1.08
0.0,29.0,48,0.12
0.0,29.5,48,0.6
0.0,22.0,49,0.72
0.0,22.5,49,0.84
0.0,23.0,49,0.36
0.0,23.5,49,0.72
0.0,24.0,49,0.48
0.0,24.5,49,0.6
0.0,25.0,49,0.96
0.0,25.5,49,0.12
0.0,26.0,49,0.96
0.0,26.5,49,0.36
0.0,27.0,49,0.12
0.0,27.5,49,0.72
0.0,28.0,49,1.08
0.0,28.5,49,0.6
0.0,29.0,49,0.12
0.0,29.5,49,0.72
0.0,22.0,50,1.08
0.0,22.5,50,0.24
0.0,23.0,50,0.96
0.0,23.5,50,0.6
0.0,24.0,50,0.96
0.0,24.5,50,0.24
0.0,25.0,50,0.48
0.0,25.5,50,0.12
0.0,26.0,50,0.12
0.0,26.5,50,1.08
0.0,27.0,50,0.48
0.0,27.5,50,0.72
0.0,28.0,50,0.48
0.0,28.5,50,0.72
0.0,29.0,50,0.96
0.0,29.5,50,0.96
0.0,22.0,51,1.2
0.0,22.5,51,0.84
0.0,23.0,51,0.0
0.0,23.5,51,0.48
0.0,24.0,51,0.6
0.0,24.5,51,1.2
0.0,25.0,51,0.48
0.0,25.5,51,0.6
0.0,26.0,51,0.36
0.0,26.5,51,1.08
0.0,27.0,51,0.12
0.0,27.5,51,0.48
0.0,28.0,51,1.2
0.0,28.5,51,1.08
0.0,29.0,51,0.12
0.0,29.5,51,0.72
0.0,22.0,52,0.72
0.0,22.5,52,0.96
0.0,23.0,52,0.72
0.0,23.5,52,1.08
0.0,24.0,52,0.96
0.0,24.5,52,0.72
0.0,25.0,52,0.96
0.0,25.5,52,0.24
0.0,26.0,52,0.6
0.0,26.5,52,0.96
0.0,27.0,52,0.84
0.0,27.5,52,0.96
0.0,28.0,52,0.96
0.0,28.5,52,1.08
0.0,29.0,52,0.48
0.0,29.5,52,0.36
0.0,22.0,53,0.6
0.0,22.5,53,0.72
0.0,23.0,53,0.12
0.0,23.5,53,1.08
0.0,24.0,53,0.96
0.0,24.5,53,0.24
0.0,25.0,53,0.72
0.0,25.5,53,0.6
0.0,26.0,53,0.72
0.0,26.5,53,0.96
0.0,27.0,53,0.12
0.0,27.5,53,0.72
0.0,28.0,53,0.36
0.0,28.5,53,0.72
0.0,29.0,53,0.96
0.0,29.5,53,0.84
0.0,22.0,54,1.08
0.0,22.5,54,0.12
0.0,23.0,54,0.96
0.0,23.5,54,0.12
0.0,24.0,54,0.84
0.0,24.5,54,0.24
0.0,25.0,54,0.72
0.0,25.5,54,0.84
0.0,26.0,54,0.48
0.0,26.5,54,0.6
0.0,27.0,54,0.12
0.0,27.5,54,0.36
0.0,28.0,54,0.36
0.0,28.5,54,0.72
0.0,29.0,54,1.08
0.0,29.5,54,1.08
0.0,22.0,55,0.36
0.0,22.5,55,0.36
0.0,23.0,55,1.08
0.0,23.5,55,0.6
0.0,24.0,55,0.12
0.0,24.5,55,1.08
0.0,25.0,55,0.12
0.0,25.5,55,1.08
0.0,26.0,55,1.08
0.0,26.5,55,0.48
0.0,27.0,55,0.24
0.0,27.5,55,0.36
0.0,28.0,55,0.24
0.0,28.5,55,0.6
0.0,29.0,55,1.2
0.0,29.5,55,0.48
0.0,22.0,56,0.36
0.0,22.5,56,0.36
0.0,23.0,56,1.08
0.0,23.5,56,0.24
0.0,24.0,56,0.96
0.0,24.5,56,0.72
0.0,25.0,56,1.2
0.0,25.5,56,0.6
0.0,26.0,56,1.08
0.0,26.5,56,0.48
0.0,27.0,56,0.6
0.0,27.5,56,0.96
0.0,28.0,56,0.6
0.0,28.5,56,1.08
0.0,29.0,56,0.24
0.0,29.5,56,0.96
0.0,22.0,57,0.36
0.0,22.5,57,0.72
0.0,23.0,57,1.2
0.0,23.5,57,0.48
0.0,24.0,57,0.0
0.0,24.5,57,0.48
0.0,25.0,57,0.36
0.0,25.5,57,0.48
0.0,26.0,57,0.24
0.0,26.5,57,0.6
0.0,27.0,57,0.96
0.0,27.5,57,0.96
0.0,28.0,57,0.24
0.0,28.5,57,0.84
0.0,29.0,57,0.72
0.0,29.5,57,0.24
0.0,22.0,58,1.08
0.0,22.5,58,1.08
0.0,23.0,58,0.24
0.0,23.5,58,1.08
0.0,24.0,58,0.84
0.0,24.5,58,0.36
0.0,25.0,58,0.12
0.0,25.5,58,0.36
0.0,26.0,58,0.72
0.0,26.5,58,0.24
0.0,27.0,58,0.24
0.0,27.5,58,0.72
0.0,28.0,58,0.72
0.0,28.5,58,1.2
0.0,29.0,58,0.12
0.0,29.5,58,0.36
0.0,22.0,59,0.12
0.0,22.5,59,1.08
0.0,23.0,59,0.48
0.0,23.5,59,0.24
0.0,24.0,59,0.12
0.0,24.5,59,0.48
0.0,25.0,59,0.72
0.0,25.5,59,0.72
0.0,26.0,59,0.96
0.0,26.5,59,0.6
0.0,27.0,59,0.96
0.0,27.5,59,0.48
