no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,thermal comfort,thermal preference,season,date,time,room,ta,hr
7,1,24,183.0,60.0,17.92,2.37,0,-1,0,1.0,1,2.0,1,2021/1/15,09:00:00,4,22.7,17.0
7,1,24,183.0,60.0,17.92,2.37,0,-1,0,1.0,1,2.0,1,2021/1/15,09:30:00,4,23.1,17.7
7,1,24,183.0,60.0,17.92,2.37,0,-1,0,1.0,1,2.0,1,2021/1/15,10:00:00,4,23.0,17.4
7,1,24,183.0,60.0,17.92,2.37,0,-1,0,1.0,1,2.0,1,2021/1/15,10:30:00,4,23.6,20.4
7,1,24,183.0,60.0,17.92,2.37,0,-1,0,1.0,1,2.0,1,2021/1/15,11:00:00,4,23.8,20.9
7,1,24,183.0,60.0,17.92,2.37,0,-1,0,1.0,1,2.0,1,2021/1/15,11:30:00,4,24.1,21.6
7,1,24,183.0,60.0,17.92,2.37,0,-1,0,1.0,1,2.0,1,2021/1/15,12:00:00,4,23.9,20.7
7,1,24,183.0,60.0,17.92,2.37,0,-1,0,1.0,1,2.0,1,2021/1/15,14:30:00,4,24.2,19.2
7,1,24,183.0,60.0,17.92,2.37,0,-1,0,1.0,1,2.0,1,2021/1/15,15:00:00,4,24.5,19.9
7,1,24,183.0,60.0,17.92,2.37,0,-1,0,1.0,1,2.0,1,2021/1/15,15:30:00,4,24.7,20.6
7,1,24,183.0,60.0,17.92,2.37,0,-1,0,1.0,1,3.0,1,2021/1/15,16:00:00,4,24.6,18.6
7,1,24,183.0,60.0,17.92,2.37,0,-1,0,1.0,1,2.0,1,2021/1/15,16:30:00,4,24.5,19.5
7,1,24,183.0,60.0,17.92,2.37,0,-1,0,2.0,0,1.0,1,2021/1/15,17:00:00,4,26.7,18.1
7,1,24,183.0,60.0,17.92,2.37,0,-1,0,1.0,1,2.0,1,2021/1/15,17:30:00,4,28.0,17.7
10,1,22,183.0,79.0,23.59,0.81,0,0,0,1.0,1,2.0,1,2021/1/15,09:00:00,6,21.8,17.7
10,1,22,183.0,79.0,23.59,0.81,0,0,0,1.0,1,2.0,1,2021/1/15,09:30:00,6,22.4,18.0
10,1,22,183.0,79.0,23.59,0.81,0,0,0,1.0,1,2.0,1,2021/1/15,10:00:00,6,22.8,18.3
10,1,22,183.0,79.0,23.59,0.81,0,0,0,1.0,1,2.0,1,2021/1/15,10:30:00,6,26.2,16.2
10,1,22,183.0,79.0,23.59,0.81,0,0,0,1.0,1,2.0,1,2021/1/15,11:00:00,6,26.9,15.6
10,1,22,183.0,79.0,23.59,0.81,0,0,0,1.0,1,2.0,1,2021/1/15,11:30:00,6,27.0,15.9
10,1,22,183.0,79.0,23.59,0.81,0,0,0,1.0,1,2.0,1,2021/1/15,12:00:00,6,27.4,16.0
10,1,22,183.0,79.0,23.59,0.81,0,0,0,1.0,1,2.0,1,2021/1/15,14:30:00,6,28.3,13.7
10,1,22,183.0,79.0,23.59,0.81,0,0,0,1.0,1,2.0,1,2021/1/15,15:00:00,6,26.3,16.0
10,1,22,183.0,79.0,23.59,0.81,0,0,0,1.0,1,2.0,1,2021/1/15,15:30:00,6,26.0,16.8
10,1,22,183.0,79.0,23.59,0.81,0,0,0,1.0,1,2.0,1,2021/1/15,16:00:00,6,25.8,17.0
10,1,22,183.0,79.0,23.59,0.81,0,0,0,1.0,1,2.0,1,2021/1/15,16:30:00,6,25.7,17.4
10,1,22,183.0,79.0,23.59,0.81,0,0,0,1.0,1,2.0,1,2021/1/15,17:00:00,6,25.5,17.5
10,1,22,183.0,79.0,23.59,0.81,0,0,0,1.0,1,2.0,1,2021/1/15,17:30:00,6,25.3,17.3
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/15,09:00:00,5,22.5,16.7
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/15,09:30:00,5,22.9,17.9
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/15,10:00:00,5,23.2,18.4
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/15,10:30:00,5,24.2,17.8
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/15,11:00:00,5,24.5,17.9
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/15,11:30:00,5,24.9,17.9
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/15,12:00:00,5,25.2,17.8
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/15,14:30:00,5,25.8,15.0
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/15,15:00:00,5,25.4,16.4
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/15,15:30:00,5,25.2,17.0
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/15,16:00:00,5,25.2,17.6
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/15,16:30:00,5,25.1,18.2
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/15,17:00:00,5,25.1,18.5
16,1,22,180.0,66.0,20.37,2.27,1,-1,1,1.0,1,2.0,1,2021/1/15,17:30:00,5,25.1,19.2
27,1,22,175.0,65.0,21.22,1.2,0,-1,1,1.0,1,2.0,1,2021/1/15,09:00:00,5,22.5,16.7
27,1,22,175.0,65.0,21.22,1.2,0,-1,1,1.0,1,3.0,1,2021/1/15,09:30:00,5,22.9,17.9
27,1,22,175.0,65.0,21.22,1.2,0,-1,1,1.0,1,2.0,1,2021/1/15,10:00:00,5,23.2,18.4
27,1,22,175.0,65.0,21.22,1.2,0,-1,1,1.0,1,2.0,1,2021/1/15,10:30:00,5,24.2,17.8
27,1,22,175.0,65.0,21.22,1.2,0,-1,1,1.0,1,2.0,1,2021/1/15,11:00:00,5,24.5,17.9
27,1,22,175.0,65.0,21.22,1.2,0,-1,1,1.0,1,2.0,1,2021/1/15,11:30:00,5,24.9,17.9
27,1,22,175.0,65.0,21.22,1.2,0,-1,1,1.0,1,2.0,1,2021/1/15,12:00:00,5,25.2,17.8
27,1,22,175.0,65.0,21.22,1.2,0,-1,1,1.0,1,2.0,1,2021/1/15,14:30:00,5,25.8,15.0
27,1,22,175.0,65.0,21.22,1.2,0,-1,1,1.0,1,2.0,1,2021/1/15,15:00:00,5,25.4,16.4
27,1,22,175.0,65.0,21.22,1.2,0,-1,1,2.0,0,1.0,1,2021/1/15,15:30:00,5,25.2,17.0
27,1,22,175.0,65.0,21.22,1.2,0,-1,1,1.0,1,2.0,1,2021/1/15,16:00:00,5,25.2,17.6
27,1,22,175.0,65.0,21.22,1.2,0,-1,1,1.0,1,2.0,1,2021/1/15,16:30:00,5,25.1,18.2
27,1,22,175.0,65.0,21.22,1.2,0,-1,1,1.0,1,2.0,1,2021/1/15,17:00:00,5,25.1,18.5
27,1,22,175.0,65.0,21.22,1.2,0,-1,1,1.0,1,2.0,1,2021/1/15,17:30:00,5,25.1,19.2
29,0,24,164.0,47.0,17.47,0.94,1,0,1,0.0,1,3.0,1,2021/1/15,09:00:00,6,21.8,17.7
29,0,24,164.0,47.0,17.47,0.94,1,0,1,0.0,1,3.0,1,2021/1/15,09:30:00,6,22.4,18.0
29,0,24,164.0,47.0,17.47,0.94,1,0,1,0.0,1,3.0,1,2021/1/15,10:00:00,6,22.8,18.3
29,0,24,164.0,47.0,17.47,0.94,1,0,1,1.0,1,2.0,1,2021/1/15,10:30:00,6,26.2,16.2
29,0,24,164.0,47.0,17.47,0.94,1,0,1,1.0,1,2.0,1,2021/1/15,11:00:00,6,26.9,15.6
29,0,24,164.0,47.0,17.47,0.94,1,0,1,1.0,1,2.0,1,2021/1/15,11:30:00,6,27.0,15.9
29,0,24,164.0,47.0,17.47,0.94,1,0,1,1.0,1,2.0,1,2021/1/15,12:00:00,6,27.4,16.0
29,0,24,164.0,47.0,17.47,0.94,1,0,1,2.0,0,1.0,1,2021/1/15,14:30:00,6,28.3,13.7
29,0,24,164.0,47.0,17.47,0.94,1,0,1,2.0,0,1.0,1,2021/1/15,15:00:00,6,26.3,16.0
29,0,24,164.0,47.0,17.47,0.94,1,0,1,1.0,1,1.0,1,2021/1/15,15:30:00,6,26.0,16.8
29,0,24,164.0,47.0,17.47,0.94,1,0,1,1.0,1,1.0,1,2021/1/15,16:00:00,6,25.8,17.0
29,0,24,164.0,47.0,17.47,0.94,1,0,1,1.0,1,2.0,1,2021/1/15,16:30:00,6,25.7,17.4
29,0,24,164.0,47.0,17.47,0.94,1,0,1,1.0,1,2.0,1,2021/1/15,17:00:00,6,25.5,17.5
29,0,24,164.0,47.0,17.47,0.94,1,0,1,1.0,1,2.0,1,2021/1/15,17:30:00,6,25.3,17.3
34,0,24,164.0,52.0,19.33,1.21,1,-1,0,1.0,1,2.0,1,2021/1/15,09:00:00,4,22.7,17.0
34,0,24,164.0,52.0,19.33,1.21,1,-1,0,1.0,1,2.0,1,2021/1/15,09:30:00,4,23.1,17.7
34,0,24,164.0,52.0,19.33,1.21,1,-1,0,1.0,1,2.0,1,2021/1/15,10:00:00,4,23.0,17.4
34,0,24,164.0,52.0,19.33,1.21,1,-1,0,1.0,1,2.0,1,2021/1/15,10:30:00,4,23.6,20.4
34,0,24,164.0,52.0,19.33,1.21,1,-1,0,0.0,1,3.0,1,2021/1/15,11:00:00,4,23.8,20.9
34,0,24,164.0,52.0,19.33,1.21,1,-1,0,0.0,1,3.0,1,2021/1/15,11:30:00,4,24.1,21.6
34,0,24,164.0,52.0,19.33,1.21,1,-1,0,0.0,1,3.0,1,2021/1/15,12:00:00,4,23.9,20.7
34,0,24,164.0,52.0,19.33,1.21,1,-1,0,1.0,1,2.0,1,2021/1/15,14:30:00,4,24.2,19.2
34,0,24,164.0,52.0,19.33,1.21,1,-1,0,1.0,1,2.0,1,2021/1/15,15:00:00,4,24.5,19.9
34,0,24,164.0,52.0,19.33,1.21,1,-1,0,1.0,1,2.0,1,2021/1/15,15:30:00,4,24.7,20.6
34,0,24,164.0,52.0,19.33,1.21,1,-1,0,0.0,1,3.0,1,2021/1/15,16:00:00,4,24.6,18.6
34,0,24,164.0,52.0,19.33,1.21,1,-1,0,0.0,1,3.0,1,2021/1/15,16:30:00,4,24.5,19.5
34,0,24,164.0,52.0,19.33,1.21,1,-1,0,2.0,0,1.0,1,2021/1/15,17:00:00,4,26.7,18.1
34,0,24,164.0,52.0,19.33,1.21,1,-1,0,2.0,0,1.0,1,2021/1/15,17:30:00,4,28.0,17.7
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,2.0,1,2021/1/15,09:00:00,5,22.5,16.7
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,2.0,1,2021/1/15,09:30:00,5,22.9,17.9
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,2.0,1,2021/1/15,10:00:00,5,23.2,18.4
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,1.0,1,2021/1/15,10:30:00,5,24.2,17.8
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,1.0,1,2021/1/15,11:00:00,5,24.5,17.9
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,1.0,1,2021/1/15,11:30:00,5,24.9,17.9
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,1.0,1,2021/1/15,12:00:00,5,25.2,17.8
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,2.0,1,1.0,1,2021/1/15,14:30:00,5,25.8,15.0
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,2.0,1,1.0,1,2021/1/15,15:00:00,5,25.4,16.4
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,1.0,1,2021/1/15,15:30:00,5,25.2,17.0
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,1.0,1,2021/1/15,16:00:00,5,25.2,17.6
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,1.0,1,2021/1/15,16:30:00,5,25.1,18.2
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,1.0,1,2021/1/15,17:00:00,5,25.1,18.5
40,1,22,185.0,73.0,21.33,3.43,1,-1,0,1.0,1,1.0,1,2021/1/15,17:30:00,5,25.1,19.2
41,1,24,178.0,71.0,22.41,1.24,0,-1,0,1.0,1,2.0,1,2021/1/15,09:00:00,5,22.5,16.7
41,1,24,178.0,71.0,22.41,1.24,0,-1,0,1.0,1,2.0,1,2021/1/15,09:30:00,5,22.9,17.9
41,1,24,178.0,71.0,22.41,1.24,0,-1,0,1.0,1,2.0,1,2021/1/15,10:00:00,5,23.2,18.4
41,1,24,178.0,71.0,22.41,1.24,0,-1,0,1.0,1,2.0,1,2021/1/15,10:30:00,5,24.2,17.8
41,1,24,178.0,71.0,22.41,1.24,0,-1,0,1.0,1,2.0,1,2021/1/15,11:00:00,5,24.5,17.9
41,1,24,178.0,71.0,22.41,1.24,0,-1,0,1.0,1,2.0,1,2021/1/15,11:30:00,5,24.9,17.9
41,1,24,178.0,71.0,22.41,1.24,0,-1,0,1.0,1,2.0,1,2021/1/15,12:00:00,5,25.2,17.8
41,1,24,178.0,71.0,22.41,1.24,0,-1,0,2.0,0,1.0,1,2021/1/15,14:30:00,5,25.8,15.0
41,1,24,178.0,71.0,22.41,1.24,0,-1,0,1.0,1,1.0,1,2021/1/15,15:00:00,5,25.4,16.4
41,1,24,178.0,71.0,22.41,1.24,0,-1,0,1.0,1,1.0,1,2021/1/15,15:30:00,5,25.2,17.0
41,1,24,178.0,71.0,22.41,1.24,0,-1,0,1.0,1,1.0,1,2021/1/15,16:00:00,5,25.2,17.6
41,1,24,178.0,71.0,22.41,1.24,0,-1,0,1.0,1,2.0,1,2021/1/15,16:30:00,5,25.1,18.2
41,1,24,178.0,71.0,22.41,1.24,0,-1,0,1.0,1,2.0,1,2021/1/15,17:00:00,5,25.1,18.5
41,1,24,178.0,71.0,22.41,1.24,0,-1,0,1.0,1,2.0,1,2021/1/15,17:30:00,5,25.1,19.2
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/15,09:00:00,5,22.5,16.7
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/15,09:30:00,5,22.9,17.9
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/15,10:00:00,5,23.2,18.4
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/15,10:30:00,5,24.2,17.8
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/15,11:00:00,5,24.5,17.9
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/15,11:30:00,5,24.9,17.9
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/15,12:00:00,5,25.2,17.8
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/15,14:30:00,5,25.8,15.0
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/15,15:00:00,5,25.4,16.4
44,1,23,181.0,76.0,23.2,1.24,1,1,0,1.0,1,2.0,1,2021/1/15,15:30:00,5,25.2,17.0
