no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,thermal comfort,thermal preference,season,date,time,room,ta,hr
4,1,24,183.0,80.0,23.89,0.96,1,1,1,1.0,1,1.0,0,2021/7/21,09:00:00,5,23.7,58.9
4,1,24,183.0,80.0,23.89,0.96,1,1,1,0.0,0,1.0,0,2021/7/21,09:30:00,5,24.0,57.4
4,1,24,183.0,80.0,23.89,0.96,1,1,1,0.0,0,1.0,0,2021/7/21,10:00:00,5,25.4,53.0
4,1,24,183.0,80.0,23.89,0.96,1,1,1,0.0,0,1.0,0,2021/7/21,10:30:00,5,25.4,51.2
4,1,24,183.0,80.0,23.89,0.96,1,1,1,0.0,0,1.0,0,2021/7/21,11:00:00,5,25.6,51.8
4,1,24,183.0,80.0,23.89,0.96,1,1,1,0.0,0,1.0,0,2021/7/21,11:30:00,5,25.5,50.4
4,1,24,183.0,80.0,23.89,0.96,1,1,1,0.0,0,1.0,0,2021/7/21,12:00:00,5,25.4,49.5
5,0,23,161.0,50.0,19.29,-0.25,2,0,-1,0.0,1,1.0,0,2021/7/21,09:00:00,1,23.2,66.3
5,0,23,161.0,50.0,19.29,-0.25,2,0,-1,0.0,1,1.0,0,2021/7/21,09:30:00,1,23.2,66.3
5,0,23,161.0,50.0,19.29,-0.25,2,0,-1,0.0,0,1.0,0,2021/7/21,10:00:00,1,23.4,68.5
5,0,23,161.0,50.0,19.29,-0.25,2,0,-1,0.0,1,1.0,0,2021/7/21,10:30:00,1,23.1,70.5
5,0,23,161.0,50.0,19.29,-0.25,2,0,-1,1.0,1,0.0,0,2021/7/21,11:00:00,1,22.9,69.5
5,0,23,161.0,50.0,19.29,-0.25,2,0,-1,1.0,1,0.0,0,2021/7/21,11:30:00,1,22.5,67.5
5,0,23,161.0,50.0,19.29,-0.25,2,0,-1,1.0,1,0.0,0,2021/7/21,12:00:00,1,22.6,66.0
5,0,23,161.0,50.0,19.29,-0.25,2,0,-1,0.0,0,1.0,0,2021/7/21,14:30:00,1,22.7,69.7
5,0,23,161.0,50.0,19.29,-0.25,2,0,-1,0.0,0,1.0,0,2021/7/21,15:00:00,1,23.4,67.0
5,0,23,161.0,50.0,19.29,-0.25,2,0,-1,0.0,0,1.0,0,2021/7/21,15:30:00,1,22.9,67.0
5,0,23,161.0,50.0,19.29,-0.25,2,0,-1,0.0,0,1.0,0,2021/7/21,16:00:00,1,22.5,64.9
5,0,23,161.0,50.0,19.29,-0.25,2,0,-1,0.0,0,1.0,0,2021/7/21,16:30:00,1,24.4,64.2
5,0,23,161.0,50.0,19.29,-0.25,2,0,-1,0.0,0,1.0,0,2021/7/21,17:00:00,1,24.9,64.0
5,0,23,161.0,50.0,19.29,-0.25,2,0,-1,0.0,1,1.0,0,2021/7/21,17:30:00,1,25.1,63.4
8,0,28,168.0,54.0,19.13,0.49,1,0,1,0.0,0,1.0,0,2021/7/21,09:00:00,5,23.7,58.9
8,0,28,168.0,54.0,19.13,0.49,1,0,1,0.0,0,1.0,0,2021/7/21,09:30:00,5,24.0,57.4
8,0,28,168.0,54.0,19.13,0.49,1,0,1,0.0,0,1.0,0,2021/7/21,10:00:00,5,25.4,53.0
8,0,28,168.0,54.0,19.13,0.49,1,0,1,0.0,0,1.0,0,2021/7/21,10:30:00,5,25.4,51.2
8,0,28,168.0,54.0,19.13,0.49,1,0,1,0.0,0,1.0,0,2021/7/21,11:00:00,5,25.6,51.8
8,0,28,168.0,54.0,19.13,0.49,1,0,1,0.0,0,1.0,0,2021/7/21,11:30:00,5,25.5,50.4
8,0,28,168.0,54.0,19.13,0.49,1,0,1,0.0,0,1.0,0,2021/7/21,12:00:00,5,25.4,49.5
9,1,22,180.0,65.0,20.06,1.05,1,-1,-1,1.0,1,0.0,0,2021/7/21,09:00:00,5,23.7,58.9
9,1,22,180.0,65.0,20.06,1.05,1,-1,-1,1.0,1,-1.0,0,2021/7/21,09:30:00,5,24.0,57.4
9,1,22,180.0,65.0,20.06,1.05,1,-1,-1,2.0,1,-1.0,0,2021/7/21,10:00:00,5,25.4,53.0
9,1,22,180.0,65.0,20.06,1.05,1,-1,-1,1.0,1,0.0,0,2021/7/21,10:30:00,5,25.4,51.2
9,1,22,180.0,65.0,20.06,1.05,1,-1,-1,1.0,1,0.0,0,2021/7/21,11:00:00,5,25.6,51.8
9,1,22,180.0,65.0,20.06,1.05,1,-1,-1,1.0,1,0.0,0,2021/7/21,11:30:00,5,25.5,50.4
9,1,22,180.0,65.0,20.06,1.05,1,-1,-1,1.0,1,0.0,0,2021/7/21,12:00:00,5,25.4,49.5
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,1.0,1,0.0,0,2021/7/21,09:00:00,5,23.7,58.9
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,1.0,1,0.0,0,2021/7/21,09:30:00,5,24.0,57.4
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,1.0,1,0.0,0,2021/7/21,10:00:00,5,25.4,53.0
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,1.0,1,0.0,0,2021/7/21,10:30:00,5,25.4,51.2
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,1.0,1,0.0,0,2021/7/21,11:00:00,5,25.6,51.8
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,1.0,1,0.0,0,2021/7/21,11:30:00,5,25.5,50.4
14,1,24,181.0,70.0,21.37,1.16,1,-1,1,2.0,1,-1.0,0,2021/7/21,12:00:00,5,25.4,49.5
22,1,23,176.0,72.0,23.24,0.83,2,-1,1,1.0,1,0.0,0,2021/7/21,09:00:00,5,23.7,58.9
22,1,23,176.0,72.0,23.24,0.83,2,-1,1,0.0,1,1.0,0,2021/7/21,09:30:00,5,24.0,57.4
22,1,23,176.0,72.0,23.24,0.83,2,-1,1,0.0,0,1.0,0,2021/7/21,10:00:00,5,25.4,53.0
22,1,23,176.0,72.0,23.24,0.83,2,-1,1,0.0,0,1.0,0,2021/7/21,10:30:00,5,25.4,51.2
22,1,23,176.0,72.0,23.24,0.83,2,-1,1,0.0,0,1.0,0,2021/7/21,11:00:00,5,25.6,51.8
22,1,23,176.0,72.0,23.24,0.83,2,-1,1,0.0,0,1.0,0,2021/7/21,11:30:00,5,25.5,50.4
22,1,23,176.0,72.0,23.24,0.83,2,-1,1,0.0,1,1.0,0,2021/7/21,12:00:00,5,25.4,49.5
43,0,28,161.0,57.0,21.99,0.44,1,1,0,1.0,1,0.0,0,2021/7/21,09:00:00,5,23.7,58.9
43,0,28,161.0,57.0,21.99,0.44,1,1,0,1.0,1,0.0,0,2021/7/21,09:30:00,5,24.0,57.4
43,0,28,161.0,57.0,21.99,0.44,1,1,0,1.0,1,0.0,0,2021/7/21,10:00:00,5,25.4,53.0
43,0,28,161.0,57.0,21.99,0.44,1,1,0,1.0,1,0.0,0,2021/7/21,10:30:00,5,25.4,51.2
43,0,28,161.0,57.0,21.99,0.44,1,1,0,1.0,1,0.0,0,2021/7/21,11:00:00,5,25.6,51.8
43,0,28,161.0,57.0,21.99,0.44,1,1,0,0.0,0,1.0,0,2021/7/21,11:30:00,5,25.5,50.4
43,0,28,161.0,57.0,21.99,0.44,1,1,0,0.0,0,1.0,0,2021/7/21,12:00:00,5,25.4,49.5
44,1,24,180.0,78.0,24.07,1.24,1,0,1,2.0,1,0.0,0,2021/7/21,09:00:00,5,23.7,58.9
44,1,24,180.0,78.0,24.07,1.24,1,0,1,1.0,1,0.0,0,2021/7/21,09:30:00,5,24.0,57.4
44,1,24,180.0,78.0,24.07,1.24,1,0,1,1.0,1,0.0,0,2021/7/21,10:00:00,5,25.4,53.0
44,1,24,180.0,78.0,24.07,1.24,1,0,1,1.0,1,0.0,0,2021/7/21,10:30:00,5,25.4,51.2
44,1,24,180.0,78.0,24.07,1.24,1,0,1,1.0,1,1.0,0,2021/7/21,11:00:00,5,25.6,51.8
44,1,24,180.0,78.0,24.07,1.24,1,0,1,1.0,1,0.0,0,2021/7/21,11:30:00,5,25.5,50.4
