Unnamed: 0,no,gender,age,height,weight,bmi,griffith,sensitivity,preference,environment,tsv,season,date,time,room,ta,hr,va
1001,10.0,1.0,22.0,183.0,79.0,23.59,0.81,0.0,0.0,0.0,1.0,0,2021/7/29,09:00:00,6,26.41,66.1,0.96
1002,10.0,1.0,22.0,183.0,79.0,23.59,0.81,0.0,0.0,0.0,1.0,0,2021/7/29,09:30:00,6,25.39,66.1,0.72
1003,10.0,1.0,22.0,183.0,79.0,23.59,0.81,0.0,0.0,0.0,0.0,0,2021/7/29,10:00:00,6,23.49,66.0,1.08
1004,10.0,1.0,22.0,183.0,79.0,23.59,0.81,0.0,0.0,0.0,0.0,0,2021/7/29,10:30:00,6,20.11,65.4,0.24
1005,10.0,1.0,22.0,183.0,79.0,23.59,0.81,0.0,0.0,0.0,0.0,0,2021/7/29,11:00:00,6,20.53,65.1,0.84
1006,10.0,1.0,22.0,183.0,79.0,23.59,0.81,0.0,0.0,0.0,1.0,0,2021/7/29,11:30:00,6,25.1,64.9,0.36
1007,10.0,1.0,22.0,183.0,79.0,23.59,0.81,0.0,0.0,0.0,0.0,0,2021/7/29,12:00:00,6,23.74,64.9,0.36
1008,10.0,1.0,22.0,183.0,79.0,23.59,0.81,0.0,0.0,0.0,0.0,0,2021/7/29,14:30:00,6,23.91,65.0,1.2
1009,10.0,1.0,22.0,183.0,79.0,23.59,0.81,0.0,0.0,0.0,1.0,0,2021/7/29,15:00:00,6,25.64,63.1,0.24
1010,10.0,1.0,22.0,183.0,79.0,23.59,0.81,0.0,0.0,0.0,0.0,0,2021/7/29,15:30:00,6,20.51,64.6,0.96
1011,10.0,1.0,22.0,183.0,79.0,23.59,0.81,0.0,0.0,0.0,0.0,0,2021/7/29,16:00:00,6,20.29,65.1,0.48
1012,10.0,1.0,22.0,183.0,79.0,23.59,0.81,0.0,0.0,0.0,0.0,0,2021/7/29,16:30:00,6,20.44,63.4,0.24
1013,10.0,1.0,22.0,183.0,79.0,23.59,0.81,0.0,0.0,0.0,0.0,0,2021/7/29,17:00:00,6,16.86,65.1,0.96
