count,male,female,young,old,short,medium,tall,thin,normal,fat,bmi_l,bmi_n,bmi_h,grf_l,grf_n,grf_h,sen_l,sen_n,sen_h,pre_l,pre_n,pre_h,env_l,env_n,env_h,date,time,ta,hr,season,va,ta_diff1,ta_diff2,age_avg,height_avg,weight_avg,bmi_avg,griffith_avg,tsv
6,1.0,0.5,1.0,0.2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.2,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2021/1/09,09:00:00,20.9,14.766666666666667,1,0.5674051673438442,0.0,0.0,23.333333333333332,176.33333333333334,68.83333333333333,21.786666666666665,1.4283333333333335,0
6,1.0,0.5,1.0,0.2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.2,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2021/1/09,09:30:00,21.55,16.283333333333335,1,0.056665065400549025,0.6500000000000021,0.0,23.333333333333332,176.33333333333334,68.83333333333333,21.786666666666665,1.4283333333333335,0
6,1.0,0.5,1.0,0.2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.2,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2021/1/09,10:00:00,23.116666666666664,15.4,1,0.761210115138224,1.5666666666666629,2.216666666666665,23.333333333333332,176.33333333333334,68.83333333333333,21.786666666666665,1.4283333333333335,0
6,1.0,0.5,1.0,0.2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.2,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2021/1/09,10:30:00,24.049999999999997,14.75,1,1.0617104715814694,0.9333333333333336,2.4999999999999964,23.333333333333332,176.33333333333334,68.83333333333333,21.786666666666665,1.4283333333333335,0
6,1.0,0.5,1.0,0.2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.2,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2021/1/09,11:00:00,25.083333333333332,14.25,1,1.1917028232042606,1.033333333333335,1.9666666666666686,23.333333333333332,176.33333333333334,68.83333333333333,21.786666666666665,1.4283333333333335,0
6,1.0,0.5,1.0,0.2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.2,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2021/1/09,11:30:00,25.116666666666664,14.749999999999998,1,0.514924239360439,0.03333333333333144,1.0666666666666664,23.333333333333332,176.33333333333334,68.83333333333333,21.786666666666665,1.4283333333333335,2
6,1.0,0.5,1.0,0.2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.2,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2021/1/09,12:00:00,25.583333333333332,14.549999999999999,1,1.1870232225852573,0.46666666666666856,0.5,23.333333333333332,176.33333333333334,68.83333333333333,21.786666666666665,1.4283333333333335,1
6,1.0,0.5,1.0,0.2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.2,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2021/1/09,14:30:00,25.599999999999998,13.299999999999999,1,0.31573060072732206,0.01666666666666572,0.4833333333333343,23.333333333333332,176.33333333333334,68.83333333333333,21.786666666666665,1.4283333333333335,2
6,1.0,0.5,1.0,0.2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.2,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2021/1/09,15:00:00,26.183333333333334,14.049999999999999,1,0.9208125732457474,0.5833333333333357,0.6000000000000014,23.333333333333332,176.33333333333334,68.83333333333333,21.786666666666665,1.4283333333333335,2
6,1.0,0.5,1.0,0.2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.2,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2021/1/09,15:30:00,25.583333333333332,15.25,1,0.22727819311967118,-0.6000000000000014,-0.01666666666666572,23.333333333333332,176.33333333333334,68.83333333333333,21.786666666666665,1.4283333333333335,2
6,1.0,0.5,1.0,0.2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.2,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2021/1/09,16:00:00,24.666666666666668,16.5,1,1.0023509326192281,-0.9166666666666643,-1.5166666666666657,23.333333333333332,176.33333333333334,68.83333333333333,21.786666666666665,1.4283333333333335,2
6,1.0,0.5,1.0,0.2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.2,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2021/1/09,16:30:00,24.333333333333332,17.283333333333335,1,1.1978176580127098,-0.3333333333333357,-1.25,23.333333333333332,176.33333333333334,68.83333333333333,21.786666666666665,1.4283333333333335,2
6,1.0,0.5,1.0,0.2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.2,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2021/1/09,17:00:00,24.266666666666666,17.583333333333332,1,0.199142271136743,-0.06666666666666643,-0.40000000000000213,23.333333333333332,176.33333333333334,68.83333333333333,21.786666666666665,1.4283333333333335,2
6,1.0,0.5,1.0,0.2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.2,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2021/1/09,17:30:00,24.183333333333334,17.766666666666666,1,0.6890759661148617,-0.08333333333333215,-0.14999999999999858,23.333333333333332,176.33333333333334,68.83333333333333,21.786666666666665,1.4283333333333335,0
6,1.0,0.5,1.0,0.2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.2,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2021/1/09,09:00:00,20.9,14.766666666666667,1,0.4449765417299663,0.0,0.0,23.333333333333332,176.33333333333334,68.83333333333333,21.786666666666665,1.4283333333333335,0
6,1.0,0.5,1.0,0.2,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.2,1.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2021/1/09,09:30:00,21.55,16.283333333333335,1,0.0809152339963111,0.6500000000000021,0.0,23.333333333333332,176.33333333333334,68.83333333333333,21.786666666666665,1.4283333333333335,0
