ta,hr,tsv
20,50,0
20,50.5,0
20,51,0
20,51.5,0
20,52,0
20,52.5,0
20,53,0
20,53.5,0
20,54,0
20,54.5,0
20,55,0
20,55.5,0
20,56,0
20,56.5,0
20,57,0
20,57.5,0
20,58,0
20,58.5,0
20,59,0
20,59.5,0
20,60,0
20,60.5,0
20,61,0
20,61.5,0
20,62,0
20,62.5,0
20,63,0
20,63.5,0
20,64,0
20,64.5,0
20,65,0
20,65.5,0
20,66,0
20,66.5,0
20,67,0
20,67.5,0
20,68,0
20,68.5,0
20,69,0
20,69.5,0
20,70,0
20,70.5,0
20,71,0
20,71.5,0
20,72,0
20,72.5,0
20,73,0
20,73.5,0
20,74,0
20,74.5,0
20,75,0
20.5,50,0
20.5,50.5,0
20.5,51,0
20.5,51.5,0
20.5,52,0
20.5,52.5,0
20.5,53,0
20.5,53.5,0
20.5,54,0
20.5,54.5,0
20.5,55,0
20.5,55.5,0
20.5,56,0
20.5,56.5,0
20.5,57,0
20.5,57.5,0
20.5,58,0
20.5,58.5,0
20.5,59,0
20.5,59.5,0
20.5,60,0
20.5,60.5,0
20.5,61,0
20.5,61.5,0
20.5,62,0
20.5,62.5,0
20.5,63,0
20.5,63.5,0
20.5,64,0
20.5,64.5,0
20.5,65,0
20.5,65.5,0
20.5,66,0
20.5,66.5,0
20.5,67,0
20.5,67.5,0
20.5,68,0
20.5,68.5,0
20.5,69,0
20.5,69.5,0
20.5,70,0
20.5,70.5,0
20.5,71,0
20.5,71.5,0
20.5,72,0
20.5,72.5,0
20.5,73,0
20.5,73.5,0
20.5,74,0
20.5,74.5,0
20.5,75,0
21,50,0
21,50.5,0
21,51,0
21,51.5,0
21,52,0
21,52.5,0
21,53,0
21,53.5,0
21,54,0
21,54.5,0
21,55,0
21,55.5,0
21,56,0
21,56.5,0
21,57,0
21,57.5,0
21,58,0
21,58.5,0
21,59,0
21,59.5,0
21,60,0
21,60.5,0
21,61,0
21,61.5,0
21,62,0
21,62.5,0
21,63,0
21,63.5,0
21,64,0
21,64.5,0
21,65,0
21,65.5,0
21,66,0
21,66.5,0
21,67,0
21,67.5,0
21,68,0
21,68.5,0
21,69,0
21,69.5,0
21,70,0
21,70.5,0
21,71,0
21,71.5,0
21,72,0
21,72.5,0
21,73,0
21,73.5,0
21,74,0
21,74.5,0
21,75,0
21.5,50,0
21.5,50.5,0
21.5,51,0
21.5,51.5,0
21.5,52,0
21.5,52.5,0
21.5,53,0
21.5,53.5,0
21.5,54,0
21.5,54.5,0
21.5,55,0
21.5,55.5,0
21.5,56,0
21.5,56.5,0
21.5,57,0
21.5,57.5,0
21.5,58,0
21.5,58.5,0
21.5,59,0
21.5,59.5,0
21.5,60,0
21.5,60.5,0
21.5,61,0
21.5,61.5,0
21.5,62,0
21.5,62.5,0
21.5,63,0
21.5,63.5,0
21.5,64,0
21.5,64.5,0
21.5,65,0
21.5,65.5,0
21.5,66,0
21.5,66.5,0
21.5,67,0
21.5,67.5,0
21.5,68,0
21.5,68.5,0
21.5,69,0
21.5,69.5,0
21.5,70,0
21.5,70.5,0
21.5,71,0
21.5,71.5,0
21.5,72,0
21.5,72.5,0
21.5,73,0
21.5,73.5,0
21.5,74,0
21.5,74.5,0
21.5,75,0
22,50,0
22,50.5,0
22,51,0
22,51.5,0
22,52,0
22,52.5,0
22,53,0
22,53.5,0
22,54,0
22,54.5,0
22,55,0
22,55.5,0
22,56,0
22,56.5,0
22,57,0
22,57.5,0
22,58,0
22,58.5,0
22,59,0
22,59.5,0
22,60,0
22,60.5,0
22,61,0
22,61.5,0
22,62,0
22,62.5,0
22,63,0
22,63.5,0
22,64,0
22,64.5,0
22,65,0
22,65.5,0
22,66,0
22,66.5,0
22,67,0
22,67.5,0
22,68,0
22,68.5,0
22,69,0
22,69.5,0
22,70,0
22,70.5,0
22,71,0
22,71.5,0
22,72,0
22,72.5,0
22,73,0
22,73.5,0
22,74,0
22,74.5,0
22,75,0
22.5,50,0
22.5,50.5,0
22.5,51,0
22.5,51.5,0
22.5,52,0
22.5,52.5,0
22.5,53,0
22.5,53.5,0
22.5,54,0
22.5,54.5,0
22.5,55,0
22.5,55.5,0
22.5,56,0
22.5,56.5,0
22.5,57,0
22.5,57.5,0
22.5,58,0
22.5,58.5,0
22.5,59,0
22.5,59.5,0
22.5,60,0
22.5,60.5,0
22.5,61,0
22.5,61.5,0
22.5,62,0
22.5,62.5,0
22.5,63,0
22.5,63.5,0
22.5,64,0
22.5,64.5,0
22.5,65,0
22.5,65.5,0
22.5,66,0
22.5,66.5,0
22.5,67,0
22.5,67.5,0
22.5,68,0
22.5,68.5,0
22.5,69,0
22.5,69.5,0
22.5,70,0
22.5,70.5,0
22.5,71,0
22.5,71.5,0
22.5,72,0
22.5,72.5,0
22.5,73,0
22.5,73.5,0
22.5,74,0
22.5,74.5,0
22.5,75,0
23,50,0
23,50.5,1
23,51,1
23,51.5,1
23,52,1
23,52.5,1
23,53,1
23,53.5,0
23,54,0
23,54.5,0
23,55,0
23,55.5,0
23,56,0
23,56.5,0
23,57,0
23,57.5,0
23,58,0
23,58.5,0
23,59,0
23,59.5,0
23,60,0
23,60.5,0
23,61,0
23,61.5,0
23,62,0
23,62.5,0
23,63,0
23,63.5,0
23,64,0
23,64.5,0
23,65,0
23,65.5,0
23,66,0
23,66.5,0
23,67,0
23,67.5,0
23,68,0
23,68.5,0
23,69,0
23,69.5,0
23,70,0
23,70.5,0
23,71,0
23,71.5,0
23,72,0
23,72.5,0
23,73,0
23,73.5,0
23,74,0
23,74.5,0
23,75,0
23.5,50,1
23.5,50.5,1
23.5,51,1
23.5,51.5,1
23.5,52,1
23.5,52.5,1
23.5,53,1
23.5,53.5,1
23.5,54,1
23.5,54.5,0
23.5,55,0
