no,gender,age,height,weight,ta,hr,season,thermal sensation,bmi,griffith
1,0,22,164,45,27.1,59,0,1,16.73,0.96
1,0,22,164,45,27.3,59,0,2,16.73,0.96
1,0,22,164,45,27.7,63,0,2,16.73,0.96
1,0,22,164,45,24.2,54,0,0,16.73,0.96
1,0,22,164,45,23,53,0,-2.5,16.73,0.96
1,0,22,164,45,27,53,0,0,16.73,0.96
1,0,22,164,45,27.2,50,0,2,16.73,0.96
1,0,22,164,45,27.2,50,0,2,16.73,0.96
1,0,22,164,45,29,48,0,2.5,16.73,0.96
1,0,22,164,45,21.9,53,0,-2.5,16.73,0.96
1,0,22,164,45,25.3,49,0,-0.4,16.73,0.96
1,0,22,164,45,25.4,54,0,-1,16.73,0.96
1,0,22,164,45,25.4,64,0,2,16.73,0.96
1,0,22,164,45,25.6,61,0,0.5,16.73,0.96
1,0,22,164,45,25.3,51,0,0,16.73,0.96
1,0,22,164,45,25.6,49,0,-0.5,16.73,0.96
1,0,22,164,45,25.6,48,0,-1,16.73,0.96
1,0,22,164,45,27,53,0,-0.2,16.73,0.96
1,0,22,164,45,27,53,0,-0.2,16.73,0.96
1,0,22,164,45,28.9,58,0,2.5,16.73,0.96
1,0,22,164,45,25.5,52,0,0,16.73,0.96
1,0,22,164,45,25.5,52,0,0,16.73,0.96
1,0,22,164,45,25.5,52,0,0,16.73,0.96
1,0,22,164,45,25.5,52,0,0,16.73,0.96
1,0,22,164,45,24.2,56,0,0.5,16.73,0.96
1,0,22,164,45,24.6,54,0,0,16.73,0.96
1,0,22,164,45,24.6,54,0,0,16.73,0.96
1,0,22,164,45,25.7,42,0,-0.7,16.73,0.96
1,0,22,164,45,29.8,58,0,2,16.73,0.96
1,0,22,164,45,25.3,46,0,0,16.73,0.96
1,0,22,164,45,25.3,46,0,0,16.73,0.96
1,0,22,164,45,26.2,45,0,0,16.73,0.96
1,0,22,164,45,26.2,45,0,0,16.73,0.96
1,0,22,164,45,26.2,45,0,0,16.73,0.96
1,0,22,164,45,28.3,54,0,2,16.73,0.96
1,0,22,164,45,26.8,45,0,-2,16.73,0.96
1,0,22,164,45,26.8,45,0,-2,16.73,0.96
1,0,22,164,45,29.9,50,0,2.5,16.73,0.96
1,0,22,164,45,24.2,49,0,-1.5,16.73,0.96
1,0,22,164,45,24.1,46,0,0,16.73,0.96
1,0,22,164,45,26,48,0,1,16.73,0.96
1,0,22,164,45,26,48,0,1,16.73,0.96
1,0,22,164,45,29,59,0,2,16.73,0.96
1,0,22,164,45,22.8,50,0,-1,16.73,0.96
1,0,22,164,45,29.9,50,0,2.5,16.73,0.96
1,0,22,164,45,25.3,55,0,-0.5,16.73,0.96
1,0,22,164,45,24.5,46,0,-1,16.73,0.96
1,0,22,164,45,24.1,46,0,0,16.73,0.96
1,0,22,164,45,29.9,55,0,2.5,16.73,0.96
1,0,22,164,45,28.5,45,0,0,16.73,0.96
1,0,22,164,45,28.5,45,0,0,16.73,0.96
1,0,22,164,45,26.4,44,0,-1,16.73,0.96
1,0,22,164,45,25.1,54,0,-0.5,16.73,0.96
1,0,22,164,45,25.5,60,0,0.2,16.73,0.96
1,0,22,164,45,26.8,64,0,1,16.73,0.96
1,0,22,164,45,27.7,63,0,2,16.73,0.96
1,0,22,164,45,23.7,57,0,-1,16.73,0.96
1,0,22,164,45,26.3,55,0,0,16.73,0.96
1,0,22,164,45,27.1,58,0,0,16.73,0.96
1,0,22,164,45,27,61,0,1.5,16.73,0.96
1,0,22,164,45,26,58,0,-1,16.73,0.96
1,0,22,164,45,26,59,0,-1,16.73,0.96
1,0,22,164,45,26.1,58,0,0,16.73,0.96
1,0,22,164,45,23.8,55,0,-0.7,16.73,0.96
1,0,22,164,45,26.3,67,0,1,16.73,0.96
1,0,22,164,45,27.6,59,0,1.5,16.73,0.96
1,0,22,164,45,26.9,56,0,0.5,16.73,0.96
1,0,22,164,45,26.5,55,0,0.3,16.73,0.96
1,0,22,164,45,25.5,48,0,0,16.73,0.96
1,0,22,164,45,25.5,49,0,-0.3,16.73,0.96
1,0,22,164,45,27.1,52,0,0,16.73,0.96
1,0,22,164,45,22.4,66,0,2,16.73,0.96
1,0,22,164,45,22.7,66,0,1.5,16.73,0.96
1,0,22,164,45,24.9,58,0,0,16.73,0.96
1,0,22,164,45,27.2,52,0,0.5,16.73,0.96
1,0,22,164,45,30,52,0,2.5,16.73,0.96
1,0,22,164,45,23.9,59,0,0.2,16.73,0.96
1,0,22,164,45,26.8,58,0,0,16.73,0.96
1,0,22,164,45,27.3,54,0,0.7,16.73,0.96
1,0,22,164,45,27.7,57,0,0,16.73,0.96
1,0,22,164,45,23.6,58,0,0,16.73,0.96
1,0,22,164,45,26.3,58,0,0,16.73,0.96
1,0,22,164,45,27.2,58,0,0.5,16.73,0.96
1,0,22,164,45,27.5,57,0,0,16.73,0.96
1,0,22,164,45,25.9,53,0,0,16.73,0.96
1,0,22,164,45,27,58,0,1,16.73,0.96
1,0,22,164,45,23.7,53,0,-0.5,16.73,0.96
1,0,22,164,45,26.5,62,0,2,16.73,0.96
1,0,22,164,45,26.1,59,0,0.5,16.73,0.96
1,0,22,164,45,24.8,54,0,-0.5,16.73,0.96
1,0,22,164,45,27.5,56,0,0,16.73,0.96
1,0,22,164,45,24.6,58,0,0,16.73,0.96
1,0,22,164,45,27.2,54,0,0,16.73,0.96
1,0,22,164,45,26.5,53,0,0,16.73,0.96
1,0,22,164,45,24.6,57,0,0.5,16.73,0.96
1,0,22,164,45,27.8,61,0,1,16.73,0.96
1,0,22,164,45,27.2,59,0,0.2,16.73,0.96
1,0,22,164,45,24.3,58,0,1,16.73,0.96
1,0,22,164,45,25.4,53,0,-1.5,16.73,0.96
1,0,22,164,45,25,52,0,-2,16.73,0.96
1,0,22,164,45,26.5,54,0,-0.5,16.73,0.96
2,1,22,178,65,25.7,59,0,0.2,20.52,1.6
2,1,22,178,65,26.7,58,0,1.3,20.52,1.6
2,1,22,178,65,27.2,58,0,0,20.52,1.6
2,1,22,178,65,27.8,62,0,1.1,20.52,1.6
2,1,22,178,65,23.6,54,0,0,20.52,1.6
2,1,22,178,65,22.3,50,0,-1,20.52,1.6
2,1,22,178,65,26.5,52,0,-0.1,20.52,1.6
2,1,22,178,65,26.5,52,0,-0.1,20.52,1.6
2,1,22,178,65,27.8,60,0,1,20.52,1.6
2,1,22,178,65,23.4,50,0,-0.7,20.52,1.6
2,1,22,178,65,27.3,53,0,0.2,20.52,1.6
2,1,22,178,65,28.2,53,0,0.3,20.52,1.6
2,1,22,178,65,27.3,48,0,0,20.52,1.6
2,1,22,178,65,25.1,57,0,0.2,20.52,1.6
2,1,22,178,65,23.6,54,0,0.3,20.52,1.6
2,1,22,178,65,24.2,52,0,-0.7,20.52,1.6
2,1,22,178,65,22.4,54,0,-0.3,20.52,1.6
2,1,22,178,65,27,56,0,0.2,20.52,1.6
2,1,22,178,65,27.3,57,0,0.7,20.52,1.6
2,1,22,178,65,28.2,59,0,1.2,20.52,1.6
2,1,22,178,65,28.4,59,0,1.7,20.52,1.6
2,1,22,178,65,24.8,55,0,-0.2,20.52,1.6
2,1,22,178,65,24.8,55,0,-0.2,20.52,1.6
2,1,22,178,65,24.8,55,0,-0.2,20.52,1.6
2,1,22,178,65,24.8,55,0,-0.3,20.52,1.6
2,1,22,178,65,24.9,53,0,0,20.52,1.6
2,1,22,178,65,25.3,53,0,0,20.52,1.6
2,1,22,178,65,25.1,50,0,-0.3,20.52,1.6
2,1,22,178,65,22,52,0,-1,20.52,1.6
2,1,22,178,65,21.9,53,0,-1.2,20.52,1.6
2,1,22,178,65,21.6,52,0,0.7,20.52,1.6
2,1,22,178,65,29.7,43,0,0.5,20.52,1.6
2,1,22,178,65,29.7,43,0,0.5,20.52,1.6
2,1,22,178,65,29.7,43,0,0.5,20.52,1.6
2,1,22,178,65,29.7,43,0,0.5,20.52,1.6
2,1,22,178,65,29.7,43,0,0.5,20.52,1.6
2,1,22,178,65,29.7,43,0,0.5,20.52,1.6
2,1,22,178,65,27.2,43,0,-0.5,20.52,1.6
2,1,22,178,65,25.7,46,0,-0.5,20.52,1.6
2,1,22,178,65,25.6,44,0,-0.5,20.52,1.6
2,1,22,178,65,28.4,38,0,-1,20.52,1.6
2,1,22,178,65,24.1,55,0,0.2,20.52,1.6
2,1,22,178,65,29.7,43,0,0.5,20.52,1.6
2,1,22,178,65,29.9,57,0,-1,20.52,1.6
2,1,22,178,65,27,45,0,0,20.52,1.6
2,1,22,178,65,27,44,0,-0.5,20.52,1.6
2,1,22,178,65,27.6,41,0,0,20.52,1.6
2,1,22,178,65,31.6,56,0,1,20.52,1.6
2,1,22,178,65,23.5,47,0,-0.6,20.52,1.6
2,1,22,178,65,24.5,54,0,-0.2,20.52,1.6
2,1,22,178,65,24.1,57,0,-0.4,20.52,1.6
2,1,22,178,65,26.4,57,0,0,20.52,1.6
2,1,22,178,65,27.1,63,0,0,20.52,1.6
2,1,22,178,65,23.2,65,0,-0.5,20.52,1.6
2,1,22,178,65,24,61,0,-1,20.52,1.6
2,1,22,178,65,24.1,57,0,-0.4,20.52,1.6
2,1,22,178,65,26.7,61,0,1,20.52,1.6
2,1,22,178,65,26.7,61,0,1.3,20.52,1.6
2,1,22,178,65,26.4,58,0,0,20.52,1.6
2,1,22,178,65,25.8,52,0,-0.5,20.52,1.6
2,1,22,178,65,25.6,58,0,1,20.52,1.6
2,1,22,178,65,25.8,56,0,-0.5,20.52,1.6
2,1,22,178,65,26.8,60,0,0,20.52,1.6
2,1,22,178,65,27.1,62,0,0,20.52,1.6
2,1,22,178,65,26.9,59,0,-0.3,20.52,1.6
2,1,22,178,65,25.8,54,0,-0.9,20.52,1.6
2,1,22,178,65,25.1,48,0,-1,20.52,1.6
2,1,22,178,65,25,48,0,1,20.52,1.6
2,1,22,178,65,27.8,50,0,0.2,20.52,1.6
2,1,22,178,65,26.6,52,0,-0.8,20.52,1.6
2,1,22,178,65,24.1,55,0,0.2,20.52,1.6
2,1,22,178,65,25.4,45,0,-1,20.52,1.6
2,1,22,178,65,22.9,64,0,0,20.52,1.6
2,1,22,178,65,23.8,55,0,-0.4,20.52,1.6
2,1,22,178,65,26.3,61,0,0.5,20.52,1.6
2,1,22,178,65,26,53,0,0.2,20.52,1.6
2,1,22,178,65,28.1,55,0,0,20.52,1.6
2,1,22,178,65,22.8,59,0,-0.5,20.52,1.6
2,1,22,178,65,23.2,58,0,-0.5,20.52,1.6
2,1,22,178,65,23.7,58,0,-0.3,20.52,1.6
2,1,22,178,65,25.9,57,0,0,20.52,1.6
2,1,22,178,65,26.4,58,0,-0.3,20.52,1.6
2,1,22,178,65,26.7,57,0,-0.9,20.52,1.6
2,1,22,178,65,25.9,53,0,0.3,20.52,1.6
2,1,22,178,65,25.8,53,0,0.3,20.52,1.6
2,1,22,178,65,24.7,48,0,-0.1,20.52,1.6
2,1,22,178,65,26.9,56,0,0,20.52,1.6
2,1,22,178,65,26.6,57,0,0,20.52,1.6
2,1,22,178,65,25.7,60,0,-0.1,20.52,1.6
2,1,22,178,65,25.1,54,0,-0.8,20.52,1.6
2,1,22,178,65,24.2,49,0,-0.7,20.52,1.6
2,1,22,178,65,24.6,55,0,-0.7,20.52,1.6
2,1,22,178,65,28.1,55,0,0,20.52,1.6
2,1,22,178,65,28.1,55,0,0,20.52,1.6
2,1,22,178,65,25.1,53,0,-0.3,20.52,1.6
2,1,22,178,65,25.3,64,0,-0.7,20.52,1.6
2,1,22,178,65,24.6,59,0,0.3,20.52,1.6
2,1,22,178,65,27.6,59,0,0,20.52,1.6
2,1,22,178,65,24.5,58,0,0,20.52,1.6
2,1,22,178,65,27.1,60,0,1,20.52,1.6
2,1,22,178,65,27.1,59,0,0.2,20.52,1.6
2,1,22,178,65,28.1,55,0,0,20.52,1.6
2,1,22,178,65,26,51,0,-0.7,20.52,1.6
2,1,22,178,65,27.4,53,0,0,20.52,1.6
2,1,22,178,65,28,59,0,1,20.52,1.6
3,1,23,181,70,26.5,52,0,0.2,21.37,1.86
3,1,23,181,70,25.4,48,0,0,21.37,1.86
3,1,23,181,70,25.4,49,0,0,21.37,1.86
3,1,23,181,70,27.6,61,0,1,21.37,1.86
3,1,23,181,70,26.7,51,0,0,21.37,1.86
3,1,23,181,70,27.5,60,0,1.2,21.37,1.86
3,1,23,181,70,25.8,54,0,0,21.37,1.86
3,1,23,181,70,24.7,52,0,-0.5,21.37,1.86
3,1,23,181,70,23.6,58,0,-1,21.37,1.86
3,1,23,181,70,23.5,57,0,-1,21.37,1.86
3,1,23,181,70,24.9,54,0,-0.4,21.37,1.86
3,1,23,181,70,26.4,63,0,0,21.37,1.86
3,1,23,181,70,26.4,53,0,0,21.37,1.86
3,1,23,181,70,25.8,64,0,0,21.37,1.86
3,1,23,181,70,25.2,56,0,0,21.37,1.86
3,1,23,181,70,26.3,53,0,0,21.37,1.86
3,1,23,181,70,26.4,48,0,0,21.37,1.86
3,1,23,181,70,25.3,46,0,-0.5,21.37,1.86
3,1,23,181,70,25.3,63,0,0,21.37,1.86
3,1,23,181,70,26.1,47,0,0,21.37,1.86
3,1,23,181,70,26.8,50,0,0,21.37,1.86
3,1,23,181,70,28.2,57,0,1,21.37,1.86
3,1,23,181,70,28.2,56,0,1,21.37,1.86
3,1,23,181,70,26.3,47,0,0,21.37,1.86
3,1,23,181,70,26.1,51,0,0,21.37,1.86
3,1,23,181,70,26.5,49,0,0,21.37,1.86
3,1,23,181,70,27.5,51,0,0.7,21.37,1.86
3,1,23,181,70,27.1,53,0,0.5,21.37,1.86
3,1,23,181,70,26.8,52,0,0,21.37,1.86
3,1,23,181,70,26.8,52,0,0.2,21.37,1.86
3,1,23,181,70,26.7,51,0,0,21.37,1.86
3,1,23,181,70,26.4,50,0,0,21.37,1.86
3,1,23,181,70,26.5,48,0,0,21.37,1.86
3,1,23,181,70,24.5,64,0,-0.5,21.37,1.86
3,1,23,181,70,22.7,67,0,-1.2,21.37,1.86
3,1,23,181,70,22.5,60,0,-1.7,21.37,1.86
3,1,23,181,70,26.3,44,0,0.5,21.37,1.86
3,1,23,181,70,26.3,44,0,0.5,21.37,1.86
3,1,23,181,70,25.2,54,0,-0.3,21.37,1.86
3,1,23,181,70,25,52,0,-1,21.37,1.86
3,1,23,181,70,24.6,51,0,-0.7,21.37,1.86
3,1,23,181,70,24.5,52,0,-0.7,21.37,1.86
3,1,23,181,70,25.9,52,0,0,21.37,1.86
3,1,23,181,70,26,57,0,-0.2,21.37,1.86
3,1,23,181,70,26,57,0,-0.2,21.37,1.86
3,1,23,181,70,25.2,53,0,0,21.37,1.86
3,1,23,181,70,24.8,51,0,0,21.37,1.86
3,1,23,181,70,24.7,53,0,0,21.37,1.86
3,1,23,181,70,24.3,50,0,-0.8,21.37,1.86
3,1,23,181,70,25.9,52,0,0,21.37,1.86
3,1,23,181,70,26.5,53,0,0,21.37,1.86
3,1,23,181,70,24.9,54,0,-0.8,21.37,1.86
3,1,23,181,70,23.4,61,0,-1.2,21.37,1.86
3,1,23,181,70,26.5,53,0,0,21.37,1.86
3,1,23,181,70,25.2,53,0,0,21.37,1.86
3,1,23,181,70,25.1,52,0,-0.5,21.37,1.86
3,1,23,181,70,25.2,51,0,0,21.37,1.86
3,1,23,181,70,25,51,0,-0.5,21.37,1.86
3,1,23,181,70,24.7,51,0,-1,21.37,1.86
3,1,23,181,70,24.4,53,0,-0.9,21.37,1.86
3,1,23,181,70,25.2,52,0,0,21.37,1.86
3,1,23,181,70,25.1,54,0,0,21.37,1.86
3,1,23,181,70,26.7,58,0,0.3,21.37,1.86
3,1,23,181,70,26.3,59,0,0.3,21.37,1.86
